verbatimSRS	reps
WGS198	3
WGS2011	1
WGS2220	1
WGS2600	1
WGS3009	1
WGS3047	1
WGS369	1
WGS578	1
WGS749	1
WGS787	1
WGS958	1
WGS996	1
ED50	330046
WGS1129	1
WGS1167	1
WGS1338	1
WGS1376	1
WGS1509	1
WGS1547	1
WGS1585	1
WGS1718	1
WGS1756	1
WGS1794	1
WGS1927	1
WGS1965	1
WGS199	3
WGS2012	1
WGS2050	1
WGS2221	1
WGS2430	1
WGS2601	1
WGS2810	1
WGS3048	1
WGS579	1
WGS788	1
WGS90	3
WGS959	1
WGS997	1
WGS1168	1
WGS1339	1
WGS1377	1
WGS1548	1
WGS1586	1
WGS1719	1
WGS1757	1
WGS1795	1
WGS1928	1
WGS1966	1
WGS2013	1
WGS2051	1
WGS2222	1
WGS2260	1
WGS2431	1
WGS2602	1
WGS2640	1
WGS2811	1
WGS3049	1
WGS789	1
WGS91	3
WGS998	1
(wgs84)	6278
WGS1169	1
WGS1378	1
WGS1549	1
WGS1587	1
WGS1758	1
WGS1796	1
WGS1929	1
WGS1967	1
WGS2014	1
WGS2052	1
WGS2090	1
WGS2223	1
WGS2261	1
WGS2432	1
WGS2470	1
WGS2603	1
WGS2641	1
WGS2812	1
WGS2850	1
WGS92	3
WGS999	1
WGS1379	1
WGS1588	1
WGS1759	1
WGS1797	1
WGS1968	1
WGS2015	1
WGS2053	1
WGS2091	1
WGS220	3
WGS2224	1
WGS2262	1
WGS2433	1
WGS2471	1
WGS2604	1
WGS2642	1
WGS2680	1
WGS2813	1
WGS2851	1
WGS600	1
WGS93	3
WGS1589	1
WGS1798	1
WGS1969	1
WGS2016	1
WGS2054	1
WGS2092	1
WGS221	3
WGS2225	1
WGS2263	1
WGS2434	1
WGS2472	1
WGS2605	1
WGS2643	1
WGS2681	1
WGS2814	1
WGS2852	1
WGS2890	1
WGS430	1
WGS601	1
WGS810	1
WGS94	3
WGS1799	1
WGS2017	1
WGS2055	1
WGS2093	1
WGS222	3
WGS2226	1
WGS2264	1
WGS2435	1
WGS2473	1
WGS260	2
WGS2606	1
WGS2644	1
WGS2682	1
WGS2815	1
WGS2853	1
WGS2891	1
WGS431	1
WGS602	1
WGS640	1
WGS811	1
WGS95	3
WGS1020	1
WGS1400	1
WGS2018	1
WGS2056	1
WGS2094	1
WGS2227	1
WGS223	3
WGS2265	1
WGS2436	1
WGS2474	1
WGS2607	1
WGS261	2
WGS2645	1
WGS2683	1
WGS2816	1
WGS2854	1
WGS2892	1
WGS432	1
WGS470	1
WGS603	1
WGS641	1
WGS812	1
WGS850	1
WGS96	3
WGS1021	1
WGS1230	1
WGS1401	1
WGS1610	1
WGS2019	1
WGS2057	1
WGS2095	1
WGS2228	1
WGS224	3
WGS2266	1
WGS2437	1
WGS2475	1
WGS2608	1
WGS262	2
WGS2646	1
WGS2684	1
WGS2817	1
WGS2855	1
WGS2893	1
WGS433	1
WGS471	1
WGS604	1
WGS642	1
WGS680	1
WGS813	1
WGS851	1
WGS97	3
NAD83/WGS84	43
WGS1022	1
WGS1060	1
WGS1231	1
WGS1402	1
WGS1440	1
WGS1611	1
WGS1820	1
WGS2058	1
