"establishmentMeans","reps"
"captured 1926 Feb 26, captured for banding, died in captivity after ca 10 yrs",1
"captured alive",3
"captured alive 18 June, killed 22 June",1
"captured alive in barn",1
"captured alive in henhouse",1
"captured alive, killed",1
"car kill",54
"car kill?, wire kill?",1
"cat kill",92
"cat kill?",1
"caught after bathing, feathers froze",1
"caught after severe storm",2
"caught alive",31
"caught alive after storm",1
"caught alive and captive for ca 6 days",1
"caught alive by boys, emaciated",1
"caught alive by hand",1
"caught alive from group of augmented young",1
"caught alive in a laneway",1
"caught alive in bush",1
"caught alive in stove",1
"caught alive on ground",1
"caught alive, 1934 February 18",1
"caught alive, 1936 December 24",1
"caught alive, captive",4
"caught alive, captive 1 day",2
"caught alive, captive 2 days",1
"caught alive, captive 4 days",1
"caught alive, captive, caught alive by Moses Dec 4 1922, sent to H A R Smith and died, sent to R W Tufts for H Lloyd",1
"caught alive, caught April 30, hatched 1962",1
"caught alive, caught in Alaska and brought to Wasaga Zoo for experimental purposes",1
"caught alive, crippled",1
"caught alive, crippled, wing bone healed",1
"caught alive, entangled by string in bushes",1
"caught alive, injured, captive for ca 2 days",2
"caught alive, June 25",1
"caught alive, kept alive 2 days, in one day ate 55 grasshoppers",1
"caught alive, oil soaked",1
"caught alive, wings frozen after bathing",1
"caught at hole in bank",1
"caught at nest",1
"caught at nest hole",1
"caught by boys",2
"caught by cat and given to me alive by A P Leslie, died during night-OED",1
"caught by cat, captive two days",1
"caught by hand",6
"caught by hand in a cave",1
"caught by hand on nest",1
"caught by hand on side of road",1
"caught by hand roosting den in tree, at night",1
"caught in 4 inch gill net",1
"caught in 52 ? in gill net",1
"caught in a barn",1
"caught in a room",1
"caught in banding net",1
"caught in banding trap",3
"caught in bear trap",2
"caught in beaver trap",1
"caught in burdock",1
"caught in butterfly net",2
"caught in fish net",9
"caught in fish nets",2
"caught in fish nets, collected for gallery specimens",5
"caught in fish nets-LLS",2
"caught in fox trap",1
"caught in gill net",15
"caught in gill net in 12 fathoms",2
"caught in gill net in 25 ft of water",1
"caught in gill net, 100 ft below surface",2
"caught in gill nets",2
"caught in gill nets, 100 ft below surface",1
"caught in grain elevator",1
"caught in insect net",1
"caught in mammal trap",3
"caught in mouse trap",172
"caught in muskrat trap",26
"caught in muskrat trap and mounted",1
"caught in nest cavity",1
"caught in net",8
"caught in nets",2
"caught in pole trap",1
"caught in rabbit snare",4
"caught in rat trap",3
"caught in roost in earth",1
"caught in same net at collecting",1
"caught in Sherman Trap",1
"caught in snap trap",8
"caught in snare",5
"caught in snare, captive",1
"caught in trap",48
"caught in trap, captive for 6 days",1
"caught in trap, set on hen that was previously killed by a hawk",1
"caught in wire fence",1
"caught in wolf snare",3
"caught in wolf trap",1
"caught on barbed wire",1
"caught on burdock",1
"caught on fishing line holding up Halloween decorations in a barn",1
"caught on nest",1
"chased by hawk, flew into post and died",1
"chick from egg collected in wild and hatched in incubator",2
"choked on small seed",1
"choked to death on discarded canned salmon",1
"collected  1630-1830 hrs",1
"collected 0530-0700 hrs",1
"collected 0530-0730 hrs",1
"collected 0600-0700 hrs",2
"collected 0600-700 hrs",2
"collected 0700 hrs",1
"collected 0800 hrs",1
"collected 0832 hrs",1
"collected 0900-1130 hrs",1
"collected 0900-12:00 hrs",1
"collected 0900-1200 hrs",1
"collected 0900-1300 hrs",1
"collected 0900-1330 hrs",1
"collected 0925 hrs",1
"collected 0945 hrs",1
"collected 1030 hrs",1
"collected 1030-1215 hrs",2
"collected 1100 hrs",1
