"islandGroup","reps"
"Archipi��lago de las Guaitecas",10
"Bismarckarchipel",10
"Calamian Gr.",10
"Chelbacheb (Rock) Islands",10
"Cuyo Ids.",10
"Glovers Reef Atoll",10
"Hen & Chicken Islands",10
"Kagoshima Pref.",10
"Kong Karls Land",10
"Laguna Prov.",10
"Los Coronados Islands.",10
"Polillo Islands",10
"Ross Island",10
"Secas Islands",10
"Seychelle Islands",10
"Shepherds group",10
"S��o Tom�� and Pr��ncipe",10
"Society Ids.",10
"Thimble Islands",10
"Tristan da Cunha Is.",10
"Core Banks",9
"Cumberland Islands",9
"Ellice Islands [Tuvalu]",9
"Grand Cayman",9
"Ionian Islands",9
"Komandorski Islands",9
"Komandorskiye Ostrova",9
"Lomaiviti Archipelago",9
"Los Hermanos",9
"Louisade Archipelago",9
"Mambajao",9
"Marianna Islands",9
"Marin Ids.",9
"Mentawi Ids.",9
"Pleiades Islands",9
"Sanak Islands",9
"Scott Islands",9
"Somalia",9
"South Sandwich",9
"Spanish Islands",9
"Tigre Cays",9
"Tuamoto Archipelago",9
"Turtle Is.",9
"Washington",9
"Aleutian",8
"Archipi��lago Las Aves",8
"Bahama Islands?",8
"Beaver Island Archipelago",8
"Bukidnon Prov.",8
"Caroline islands",8
"des samoa",8
"Falkland",8
"Greenland",8
"Guam Island",8
"Ilhas Selvagens",8
"Islas Daphne (= Daphne Islands)",8
"Islas Las Marietas",8
"Komoren",8
"LESSER ANTILLES",8
"Levantado Keys",8
"Mamanuca Ids.",8
"Maug Is.",8
"Nazca Ridge",8
"Outer Islands",8
"Pakistan",8
"Queen Charlotte Ids.",8
"Russel Islands",8
"Shizuoka Pref.",8
"South Neptune Islands",8
"Spitsbergen",8
"Taiwan's Coastal Islands",8
"Tatoosh Islands",8
"Windmill Islands",8
"Abaco Cays",7
"Aleipata Islands",7
"Australia",7
"Barat Daya Islands",7
"Bounty Islands",7
"Campbell Island group",7
"Cayman Is.",7
"Celebes Islands",7
"Channel Islands.",7
"Coronados Islands",7
"Danger Islands",7
"des gl��nans",7
"Franz Josef Land",7
"Frisian Islands",7
"Georgia",7
"Honshu",7
"��les Crozet",7
"Idaho",7
"Ilhabela",7
"Kangwon-do Prov.",7
"Kiunga",7
"Line Islands (USA)",7
"Lomaiviti Arch.",7
"Long Island and New York City barrier Islands",7
"Los Frailes",7
"Melaka State",7
"Niua Group",7
"Ogasawara Is. (Bonin Is.)",7
"Oki Islands",7
"Okinawa-shoto",7
"Pingtung Dist.",7
"Port Moresby",7
"Scattered Islands",7
"S���o Tom��� and Principe",7
"Svalbard Islands",7
"Tangatapu Group",7
"Torres Islands",7
"Tristan da Cunha Group",7
"Turks and Caicos Ids.",7
"Virgin Islands*",7
"West Mirage Islands",7
"West New Britain Prov.",7
"Antillen",6
"Archipi��lago Los Testigos",6
"Arquip��lago de Trindade e Martim Vaz",6
"Ashmore and Cartier Ids.",6
"Banda Is.",6
"Bay of Islands",6
"Chagos Arch.",6
"Chandeleur Islands",6
"Chincha Islands",6
"Davao del Norte Prov.",6
"D'Entrecasteaux Group",6
"Desventuradas Islands [Chile]",6
"Fidschiinseln",6
"French West Indies",6
"Funafuti Islands",6
"Guadalcanal",6
"Ilhas de Barlavento",6
"Ilhas de Sotavento",6
"Indian Ocean Is",6
"Islas Todos Santos",6
"Java",6
"Kayangel Islands",6
"Kyushu",6
"Lesser Sunda Ids.",6
"Louisiana",6
"Loyalty",6
"Mascarene Islands*",6
"Melchior Archipelago",6
"Mentawai Is.",6
"Mergui Archipelago",6
"Mokohinau Islands",6
"Mono Lake",6
"Mozambique Channel",6
"Neptune Islands",6
"New Britain Island",6
"New Caledonia Outliers",6
