,84729
"Soesilarishius chaplini",2
"Soesilarishius excentricus",7
"Soesilarishius flagellator",2
"Soesilarishius macrochelis",2
"Soesilarishius muiratinga",1
"Soesilarishius paxiuba",2
"Soesilarishius tabernarius",1
"Sosippinae",1
"sp. 14",1
"sp. 2",1
"Sparassidae",144
"Sparianthina",1
"Sparianthinae",1
"Sparianthis",10
"Specimen",11764
"specimen photocopy/scan",1
"Sphecotypus",4
"Spilasma duodecimguttata",15
"Spilasma utaca",1
"Spintharidius rhomboidalis",1
"Spintharus",2
"Spintharus flavidus",2
"Steadoda",1
"Stemmops",6
"Stemmops subtilis",1
"Stenoonops",3
"Stenostygnus pusio",10
"Stephanopis",16
"Stephanopoides brasiliana",1
"Stephanopoides sexmaculata",1
"Stephanopoides simoni",7
"Still Image",24
"Strophaeus",4
"Strophius",24
"Strophius fidelis",2
"Strophius nigricans",1
"Strotarchus",3
"Strotarchus nebulosus",1
"Stygnidae",1
"Stygnidius",113
"Stygnommatidae",35
"Stygnoplus tapirapeco",2
"Stygnus",65
"Stygnus kuryi",2
"Stygnus laevis",5
"Stygnus luteus",17
"Stygnus multispinosus",1
"Stygnus nogueirai",2
"Stygnus trocaraincola",1
"Styposis",18
"Styposis selis",1
"substituir",19
"Sumampattus",1
"Surazomus paitit",31
"Symphytognatha tacaca",1
"Symphytognathidae",8
"Synaemops",1
"Synagelinae",1
"Syncranaus cribum",15
"Synema",12
"Synemosyna",9
"Synemosyna myrmeciaeformis",2
"Synemosyna paraensis",2
"Synotaxidae",5
"Synotaxus brescovit",3
"Synotaxus itabaiana",3
"Synotaxus siolii",9
"Syntrechalea",5
"Syntrechalea adis",2
"Syntrechalea caporiacco",3
"Syntrechalea syntrechaloides",5
"Syntrechalea tenuis",1
"Tanybelus",2
"Tapinauchenius",4
"Tapinillus",1
"Tapponia",4
"Tatepeira tatarendensis",1
"Teminius",12
"Teminius insularis",68
"Tenedos",1
"Tenedos carlosprestesi",1
"Tenedos garoa",2
"Tenedos hoeferi",37
"Tenedos nancyae",1
"Tetrablemmidae",1
"Tetragnatha",31
"Tetragnathidae",73
"Teudis",14
"Thallumetus",9
"Thaumasia",103
"Thaumasia  annulipes",10
"Thaumasia  argenteonotata",29
"Thaumasia  velox",4
"Thelyphonellus",48
"Thelyphonidae",1
"Theraphosa blondi",50
"Theraphosidae",84
"Theraphosinae",29
"Theridiidae",516
"Theridion",13
"Theridion - Ameridium",2
"Theridion ?",1
"Theridion incertissimum",1
"Theridion metabolum",4
"Theridion positivum",4
"Theridion soaresi",7
"Theridiosomatidae",27
"Thiodina",42
"Thiodina vaccula",2
"Thomasettia",1
"Thomisidae",186
"Thomisinae",1
"Thwaitesia",51
"Thwaitesia  affinis",1
"Thwaitesia  bracteata",57
"Thwaitesia  simoni",13
"Thymoites",60
"Thymoites elongatus",1
"Thymoites piarco",26
"Tissue",2
"Titanoecidae",8
"Titidius",1
"Titidius caninde",2
"Titidius galbanatus",1
"Titidius quinquenotatus",14
"Titidius rubescens",11
"Tmarus",159
"Tmesiphantes",2
"Tobias",19
"Trachelas",45
"Trachelas SPP",1
"Trachelinae",2
"Trachelopachys aemulatus",1
"Trachelopachys sericeus",4
"Trechalea",28
"Trechalea amazonica",1
"Trechalea macconelli",1
"Trechaleidae",25
"Trinella",12
"Trochosa",2
"Tullgrenella",32
"Tupirinna",5
"Tupirinna  rosae",2
"Tupirinna rosae",6
"Uaiuara?",1
"Uaiuara? amazonica",3
"Uloboridae",52
"Uloborus",8
"Uloborus filidentatus",1
"Uloborus trilineatus",2
"Ummidia",10
"Uraarachne",1
"Vectius niger",8
"Vendaphaea lajuma",1
"Verrucosa",11
"Vindullus",2
"Vindullus concavus",1
"Vitalius",1
"Wagneriana",6
"Wagneriana  acrosomoides",5
"Wagneriana  grandicornis",1
"Wagneriana  hassleri",1
"Wagneriana  jacaza",2
"Wagneriana  neblina",2
"Wagneriana  roraima",1
"Ward and Berner. 1980.",2
"Wulfila",7
"Wulfilopsis",1
"Xenonemesia araucaria",2
"Xeropigo",92
"Xeropigo cotijuba",3
"Xeropigo pachitea",1
"Xeropigo perene",1
"Xeropigo tridentiger",8
"Xyccarph",1
"Xylethrus",1
"Xylethrus superbus",4
"Ypypuera crucifera",5
"Zalmoxidae",77
"Zimiris doriai",4
"Zimiromus",20
"Zimiromus beni",7
"Zimiromus hortenciae",9
"Zimiromus sinop",1
"Zimiromus syenus",1
"Zloty. 1996.",1
"Zodariidae",20
"Zosis",1
"Zosis peruana",1
"Zuniga",1
"Zuniga magna",1
"Zygoballus",2
