"data.dwc:identificationQualifier","reps"
"amandinea",17
"anglocandicans",17
"angustissimus",17
"antennifera",17
"arcticus",17
"ascerta",17
"astyanax",17
"auriculata",17
"australica",17
"bellona",17
"benthamiana",17
"blackiana",17
"brassii",17
"callistemon",17
"callitricha",17
"can't",17
"cephalornithos",17
"check",17
"cheilolejeunea",17
"chermocki",17
"chippendalei",17
"chondrophycus",17
"clade",17
"conostephioides",17
"crepidotus",17
"crispata",17
"crouania",17
"ctenidium",17
"cupressiforme",17
"cupreus",17
"cystophora",17
"dallachiana",17
"decaspermum",17
"desmostylus",17
"dielsii",17
"diesingiana",17
"diversifolia",17
"dulcamara",17
"fastigiata",17
"flavoparmelia",17
"forbesii",17
"galerina",17
"gibbosum",17
"hebeloma",17
"hornerstown",17
"hymenochaete",17
"hypochlamydea",17
"inflata",17
"insidiosa",17
"insularis",17
"integrifolium",17
"irregularis",17
"isingii",17
"kauff",17
"kempeana",17
"kochii",17
"kraglievichia",17
"longipes",17
"macrorhyncha",17
"medina",17
"melaleuca",17
"multiflora",17
"nebraskensis",17
"neoperplexa",17
"nicotiana",17
"nodiflora",17
"notochoerus",17
"pachythecum",17
"pascua",17
"penroseae",17
"peromyscus",17
"phyciodes",17
"pleurotus",17
"plumigera",17
"podacanthum",17
"polycarpum",17
"procera",17
"protoglossum",17
"pseudocyphellaria",17
"pseudoflabellata",17
"purpureum",17
"racospermyces",17
"rutidota",17
"sanfordi",17
"saucium",17
"scoparia",17
"selliguea",17
