"identificationQualifier","reps"
"Dicranum roellii",2
"Dicranum scoparium var. orthophyllum",2
"Dicranum subpalustre",2
"Dicranum virens",2
"Dicranum viride var. dentatum",2
"Didelphodus",2
"Didymodon cylindricus",2
"Didymodon recurvirostrus",2
"Didymodon squarrosus",2
"Didymodon tosaensis",2
"diosmus gp.",2
"\discoidea\",2
"Discomycete",2
"Discomycete?",2
"Dissodon splachnoides",2
"Distichophyllum japonicum var. minus",2
"Ditrichum flexicaule var. brevifolium",2
"Ditrichum mexicanum",2
"Donald Pinkava",2
"Dormaalius",2
"Drepanocladus aduncus var. polycarpus fo. capillifolius",2
"Drepanocladus aquaticus",2
"Drepanocladus capillifolius var. strictus n.var. Co-type",2
"Drepanocladus fluitans var. jeanbernatii",2
"Drepanocladus kneiffi var. intermedius",2
"Drepanocladus pseudofluitans",2
"Drepanocladus subaduncus",2
"D. Sissom",2
"D. T. Dawrel/K. Longpre",2
"dupl",2
"duplicate",2
"Dylan Q. Wann.",2
"dymas",2
"Dyseolemur",2
"E. colon nevadensis",2
"Edaphocyon",2
"egleis",2
"Elephas",2
"Elkhorn Fm",2
"emend. Powell, 1957",2
"epithet spelled blytii on label",2
"Eptesicus",2
"Erich Haber",2
"Erignathus",2
"Erythrophyllum ruebellum",2
"Etage D",2
"Etage Ff2",2
"Eubalaena ?",2
"Eudaemonema",2
"eulalia",2
"Eurema lisa",2
"Eusmilus",2
"eventus",2
"(Evernia)",2
"ex descr.",2
"ex Fr.",2
"f. alba",2
"family, genus and species TBD",2
"f. celotea",2
"f. cinerescens",2
"f. cylindrica",2
"Female",2
"Ffestiniog Beds",2
"F. f. favonius",2
"f. gladiata",2
"f. gracilis",2
"f. hermodur",2
"figulina",2
"(Flammula)",2
"(flammulaster)",2
"Flora of Michigan",2
"f. novae-zelandiae W. Van. B.",2
"(forma album)",2
"forma hastata",2
"forma nov.?",2
"forma truncata",2
"form of",2
"formosanus",2
"form umbrosa",2
"f. phyllotoce",2
"Fr.",2
"fraterna",2
"f. robusta",2
"f. thelephoroides",2
"Funaria hungarica",2
"g",2
"gagetes",2
"Galecyon",2
"(G. boryi form)",2
"G. Burrier",2
"geminus",2
"gemma",2
"Gerik",2
"\geryongensis\",2
"Gess sp. L",2
"Gess sp. O",2
"G. flebilis",2
"Gigartina? Rhodoglossum?",2
"Giraffa ?",2
"Glasbius",2
"glaucopus complex",2
"(glaucopus group)",2
"Globicephala ?",2
"G. paleogama",2
"Grand Valley State University, Biology 573, Summer, 1998",2
"Grand Valley State University, Biology 573, Summer, 2000",2
"? Grateloupia?",2
"Grayson Davies",2
"(green genotype)",2
"Gregorymys",2
"Grimmia decalvata",2
"\griseolilacina\ type",2
"Group",2
"guderiana",2
"GVSU Digitization Projects",2
"GVSU Digitiztion Project",2
"GVSU Herbarium",2
"G. x. xanthoides",2
"Gypsonictops ?",2
"Hale Fm",2
"Haplaletes",2
"Haplodon wormskjoldii",2
"Haplolepis cf.",2
"Harkenclenus titus",2
"Harrymys",2
"Hawaz Fm",2
"Heliophila unipuncta",2
"Hemiargus isola alea",2
"Hemithlaeus",2
"hennei",2
"henshawi",2
"Heodas mariposa",2
"Heptacodon",2
"hera",2
"Herbarium Specimen",2
"hermosanus",2
"Herpetotherium",2
"Herpetotherium?",2
"Hesperocyon cf",2
"Hess Ls",2
"H. gloveri-cecropia",2
"H. gyas",2
"highly certain",2
"Hippidion",2
"Holmesina ?",2
"Hoplophorus",2
"howlandii",2
"H. thomasi bethune-bakeri",2
"Hybrid ?",2
"hybrid between P. ternifolia x P. wrightiana",2
"Hydnaceae?",2
"hydnoid",2
"(Hydrocybe)",2
"hydrogonium pseduo-ehrenbergii",2
"(Hygrophanous)",2
"Hymenoptera?",2
"Hypena? sp.",2
"Hypnum campestre",2
"Hypohippus ?",2
"Hypohippus cf.",2
"���",2
"Identification uncertain",2
"immaculata",2
"(immature)",2
"I. n. clarki",2
"Indarctos",2
"indet",2
"Indraloris",2
"ined?",2
"in prep.",2
"Interatherium",2
"intermediate between var. polycephalus and var. xeranthemoides",2
"intermediate between var. polycephalus & var. xeranthemoides",2
"Intermediate to E. navajoensis",2
"(= I. olympiana?)",2
"I. polios obscurus",2
"isabella",2
"Isomyopotamus ?",2
"J.A. Back",2
"Jacob Foust",2
"J. Chris Pires",2
"J. c. nigrosuffusa",2
"Jeffersonville fm",2
"J.H. Demastus",2
"Johns Valley Sh",2
"J.S. Firkins",2
"(judaica)",2
"juncifolia form",2
"J. V. Moody",2
"Kalobatippus",2
"K. Bennett",2
"Kelly Allred",2
"K. Gregory",2
"Kolpochoerus",2
"koxinga",2
"K Polk",2
"K. Wilke",2
"l",2
"L. a. archippus",2
"labeled Sphinx perelegans asellus",2
"label has ? after ID",2
"lacera Fr. Karst.",2
"(lanug. or lepto.)",2
"L. archippus floridensis",2
"large form",2
"L. a. rubrofasciata",2
"Lejeuneaceae ?",2
"'Lennei'",2
"leoninus",2
"(Lep.)",2
"Leptacodon",2
"Leptarctus",2
"leptodontium acutifolium",2
"Lethe appalachia",2
"Lethe bhadra",2
"Lethe eurydice ssp.",2
"Lethe pulaha",2
"Leucobryum scalare",2
"Leucoloma rehmannii",2
"light form",2
"Limenitinae",2
"linda",2
"lingula",2
"Litolestes",2
"locupletata",2
"Longirostomeryx",2
"Lophiotherium",2
"Loveina",2
"L. Smith",2
"luctatius",2
"Lynx?",2
"lysippe",2
"macaria",2
"M. A. Castellano (OSC)",2
"macisaaci",2
"macrochirus X sp.",2
"macrosperma",2
"Macrotarsius",2
"Magnesium Ss",2
"Male cultivar",2
"Malm epsilon",2
"Malvaceae: Grewioideae (= Sparmanniaceae)",2
"manchada",2
"? manihot",2
"manni group",2
"Marasmioid?",2
"Maria C. Jaquez",2
"marina",2
"marinita",2
"mariposa",2
"Marked with a ?",2
"Mark S. Brunell",2
"marmorea",2
"(marmoripes)",2
"May",2
"Mazama",2
"Mazama ?",2
"M. Culwell",2
"Megalohyrax",2
"Megalonyx cf.",2
"megalosp.",2
"Megalotragus",2
"megapenthes",2
"Megaptera",2
"Megathericulus",2
"Melanelia glabra",2
"melitensis",2
"Meniscomys",2
"Merycoidodon ?",2
"Mesotherium",2
"Metailurus",2
"Metasayimus",2
"Michael Barrett",2
"Michael O. Dillon",2
"Michigan Flowers",2
"Micrococlia diatheroides (?) obliterata",2
"Microparamys",2
"Miracinonyx",2
"Mis ID for N. America",2
"missionensis",2
"mixed sheet",2
"(mixtilis complex)",2
"mixtilis complex",2
"mixtilis group",2
"mixture",2
"Mnium japonicum",2
"Monachus",2
"Monosaulax",2
"montezuma",2
"mormonia",2
"Morphologically intermediate to E. engelmannii ssp. fasciculatus",2
"mss. nom. prov",2
"mss. sp. nov",2
"mucifluus/stillatitius complex",2
"Muschelkalk",2
"M. y. cofaqui",2
"Mylohyus cf.",2
"mysis",2
"Myurium chrysophyllum",2
"Myurium fragile",2
"(Myx.) \luteobrunnescens\",2
"name ined.",2
"Nancy Hensold",2
"? narrow form",2
"narrow form",2
"? nashii x virginica",2
"natalense",2
"Navajovius",2
"nc13",2
"nc19",2
"nc20",2
"nc21",2
"nc8",2
"n.comb.ined.",2
"(near)",2
"near;",2
"near?",2
"needs attention",2
"NEEDS CHECKING",2
"(Nematoloma)",2
"Neohipparion?",2
"Neotoma ?",2
"nesiotes",2
"new sp",2
"(new var.)",2
"Nidulariales",2
"(nigrescens type)",2
"nigrescens type",2
"niphonica",2
"nivalus",2
"nom. nud.",2
"(nom. prov.)",2
"nordini",2
"/nordmanensis",2
"No such combination on record",2
"NOT",2
"not A. mellea s.s.",2
"NOT Fuscidea according to A.J. Fryday, but no alternative genus provided",2
"Nothocyon",2
"Nothokemas?",2
"Nothrotheriops ?",2
"novum",2
"nov. var.",2
"nr. coloradensis",2
"nr. corniculatus",2
"nr. filicatus",2
"nr. interruptus",2
"nr luctifera Petrunkevitch",2
"nr. ocelote Francke & Stochwell, 1987",2
"nr saukea Levi",2
"n. ssp.",2
"N. Var.",2
"(obscura stips)",2
"ochraceae",2
"oileus",2
"OK",2
"(old)",2
"Omomys",2
"Onychonycteris",2
"or Buellia",2
"\oregonensis\ gp.",2
"or Juncus dudleyi",2
", or L. saccharina?",2
"or Mychodeaceae",2
"or P. fallax",2
"? or P. linearis (Turner) J. Ag.",2
"orthographic",2
"? or Tricholoma",2
"(or variant)",2
"Osteoborus",2
"(ostreatus)",2
"Oxydactylus",2
"Pacific vicariant of",2
"P. ajax marcellus",2
"P. ajax welshi",2
"palatinus cf.",2
"(pale form)",2
"Palenochtha",2
"palesha",2
"pallens",2
"pallid form",2
"paphirides",2
"Papilio montezuma",2
"Papio",2
"Paracosoryx",2
"Paradjidaumo",2
"paragaudis group",2
"Parahippus cf.",2
"Parapapio",2
"Parapithecus",2
"Parictis",2
"Parictis?",2
"parryi",2
"Parvericius",2
"Parvericius ?",2
"pascoensis",2
"Pat Comus",2
"patroclus",2
"P. cocyta selenis",2
"pegala",2
"Pelorovis",2
"? pendula",2
"penelope",2
"Penetrigonias",2
"Perameles",2
"Perchoerus",2
"Periptychus ?",2
"Phaedrates daunia",2
"(phalloides?)",2
"Philotes enoptes ancilla",2
"Phiomia",2
"(Phlegmacium) arquatus group",2
"(Pholiotina) stirps Arrhenii sensu Watling",2
"Pierre Sh",2
"pinnata",2
"Plants of Tennessee",2
"Platybelodon",2
"Plebeius pheres",2
"(Pleurocystidium)",2
"pleurotoid",2
"Pohlia scabridens",2
"Polycaonini",2
"polypore",2
"Polypore?",2
"pomona",2
"positive",2
"possible mis-id for N.A.",2
"poss. versicolor Walckenaer",2
"p.p.",2
"probable mis id for N.A.",2
"? probably",2
"probably cheiracanthus",2
"Prob. [probably]",2
"Procamelus ?",2
"Prochetodon",2
"Procyon ?",2
"Prodiacodon",2
"Prodinoceras",2
"Promartes",2
"Pronycticebus",2
"pro parte",2
"Prosthenops?",2
"Protapirus",2
"protenor",2
"Protoadapis",2
"protracta group",2
"(prox.)",2
"prox.",2
"Pseudhipparion?",2
"Pseudohazis eglanterina nuttalli",2
"Pseudorca",2
"pseudosalor/integerrimus",2
"Pubescent form",2
"\purpurea\ form",2
"pyrenecus",2
"questionable",2
"racemosa",2
"Rangifer?",2
"Rawnsley Qtzt",2
"\Red Baron\",2
"regalis",2
"rel.;",2
"rev",2
"Rev",2
"Rhacomitrium canescens var. ericoides",2
"Rhodomelaceae",2
"Rhodophora florida",2
"Rhodophylloid",2
"Rhynchotherium ?",2
"(robust form)",2
"R. Rogers",2
"ruficolis",2
"(Russulares)",2
"(Russularia)",2
"rusticus",2
"Ryan A. Gregory",2
"s",2
"S. acadia sugonen",2
"Saluda Fm",2
"Santa Cruz Fm",2
"sapporensis",2
"/Sarcosoma",2
"S. a. tetonia",2
"Satyrodes canthus",2
"S. Blair",2
"Schismotherium",2
"scriptura",2
"\Seattle Form\",2
"section Ovales, immature",2
"sect. Ovales",2
"Sect. Trachyphytum",2
"See ID remark",2
"see notes on specimen",2
"sensu FNA",2
"sensu J. Lange",2
", sensu Kauff.",2
"(sensu Kauffman)",2
"sensu Moldenke, non Kunth",2
"sensu Moldenke, non Kunth?",2
"sensu strictu",2
"(Sericeo.)",2
"S. gloveri",2
"S. gloveri-cecropia",2
"Shawangunk Cgl",2
"similis",2
"Sinclairella",2
"SJI1",2
"SJI2",2
"SJI sp. 2",2
"Skaneateles Fm",2
"s. Lange",2
"s. latu",2
"Smilodon cf.",2
"Sorex?",2
"Sosipatra? sp.",2
"sp. (?)",2
"sp 1",2
"sp. 1 cf.",2
"sp. 304",2
"sp. 305 longimanus",2
"sp. 316 holdenae",2
"sp. 319 marinhoi",2
"sp. 3 (Italy)",2
"sp. 3 of Dan Proud",2
"sp #4",2
"sp. 5 of Dan Proud",2
"sp. camosa form",2
"sp. Clade2",2
"S. p. echo",2
"species?",2
"species name illegible",2
"specis TBD",2
"Spermophilus ?",2
"[sp. illegible]",2
"sp. L",2
"Sp. n.",2
"(sp. nov.?)",2
"sp. nov",2
"sp.nov.?",2
"sp. nov. (cf. regani)",2
"[sp. nov. ined.]",2
"sp. nov. pro tem",2
"sp. nov. pro. tem.",2
"spp",2
"sp. (pr. N. paludosum K��tz.)",2
"sp. (sp. nov.?)",2
"(sp. uncertain)",2
"sp. (white)",2
"squarrosa-adiposa grp.",2
"ssp. ?",2
"ssp. candicans (Rydb.) D. D. Keck",2
"ssp. distichus",2
"--> ssp. fasciculatum",2
"ssp. novae-zelandiae",2
"(ssp. uncertain)",2
"ssp. viscidiflorus",2
"? st.",2
"S.T. Bates",2
"sterile crust",2
"'strenua'",2
"strictius",2
"subdestricta type",2
"(subexilis macrosp.)",2
"subgen. Seriocybe",2
"subgenus Phlegmacium",2
"subg. Telamonia",2
"subsp.",2
"subsp. concolor",2
"subsp. dacica",2
"subsp. imperialiformis",2
"Sus ?",2
"Sylvilagus?",2
"syn",2
"syn =",2
"synonym",2
"Syrrhopodon glaziovii",2
"Syrrhopodon prolifer var. papillosus",2
"Syrrhopodon tosaensis",2
"Syrrhopodon tsushimae",2
"Tapeats Ss",2
"Tapirus ?",2
"Tayassu",2
"T. Bone",2
"? (Telamonia)",2
"(Telamonia) pink veil",2
"Teleoceros?",2
"tending toward",2
"tenius",2
"(tent.)",2
"terpsichore",2
"(terrestris or intybacea)",2
"Tesnus Fm",2
"tethys",2
"Tetralophodon",2
"Tetrameryx",2
"the \graveolens\ form",2
"Theresa Dol",2
"the truly yellow form",2
"thomsoni",2
"Thysanomitrium richardii",2
"Titanohyrax",2
"Titanoides",2
"T. King",2
"T. l. alma",2
"T.L. Talcott",2
"Tomarctus?",2
"topotype",2
"transversale group",2
"Trematodon atrovirens",2
"Trematodon flaccidisetus",2
"Tremellaceae",2
"Tremellales",2
"Trichechodon",2
"Trillium flexipes Raf. X",2
"Trogolemur",2
"TYPE",2
"(typical)",2
"(Tyromyces)",2
"Ugandax",2
"Uintanius",2
"Undetermined, sterile crust",2
"[unpublished sp.]",2
"Ursus ?",2
"Ursus?",2
"Utahia",2
"= V. alpina var unalaschcensis (USDA Plant List)",2
"var ?",2
"var. caerulea",2
"var. californicus",2
"var. cassini",2
"var. clausa",2
"var. gracilior Cronq.",2
"var. gracilis",2
"var. grangerense",2
"variety",2
"variicolor group",2
"var. laevigatum",2
"= var. microphylla (USDA Plant List)",2
"var. nova",2
"var. nov. unpublished",2
"var. occidentalis",2
"var. of ssp. atroviridis",2
"var. oregana",2
"var. parvus var.parvus",2
"var. paspaloides Weber van Bosse",2
", var. (?purpurea)",2
"var. racemosa f. furcatosubulata",2
"var. recta",2
"var. santensis",2
"var. sparsa",2
"var. tenuifolia",2
"vasava",2
"Vaureal Fm",2
"vazquezae",2
"vel.aff.",2
"venusta X sp.",2
"verif.",2
"Verified",2
"verified by #4",2
"verified by Anweiler, G",2
"verified by Anweler, G.G.",2
"verified by Balogh, G.",2
"verified by Balogh, G. J.",2
"verified by Chlorochroa ligata",2
"verified by D. obesus Mann.",2
"verified by McCabe, T.",2
"verified by Smith, T.",2
"verified by Townes (1951)",2
"very probably",2
"very thick short coil",2
"vibratilis group",2
"vid.",2
"vs.",2
"WA1",2
"Wendy Hodgson, DES",2
"W Gagne",2
"(white)",2
"white crust",2
"White Snakeroot",2
"W. Hodgson, DES",2
"winni",2
"\with reservation\",2
"woodi",2
"[written as \corallinara\]",2
"[written as \nelsonia\]",2
"x ?",2
"x A. chrysantha",2
"x Agave delmateri",2
"x Agave parryi",2
"xanthomelas type",2
"? x aurantiifolia",2
"x Cylindropuntia echinocarpa",2
"x Cylindropuntia ganderi var. ganderi",2
"x Escobaria sneedii",2
"x genus changed from Amphispiza according to Clements 6.7",2
"x L. astyanax",2
"x putus",2
"x S. sericea",2
"x T. latifolia",2
"Young",2
"yukonensis",2
"zachaeina",2
"Zapus",2
"(Zetterst. 1847)",2
"zinziberatus complex",2
"Zygorhiza",2
";",1
"!!!",1
"!?",1
"? >",1
"? ?",1
"?!",1
"???=",1
"???-",1
"????",1
"???/???",1
"(???)",1
"(??)",1
"*",1
"+",1
"",1
"05/75/1966",1
"1",1
"1;",1
"-103.28663",1
"11527",1
"(1187 complex)",1
"1197 (or -79?)",1
"-123.013348",1
"12 apr 9",1
"1300",1
"1540-type",1
"1573",1
"1603",1
"16765",1
"169013",1
"169020",1
"169022",1
"169026",1
"174292",1
"174312",1
"174322",1
"184623",1
"1905-06-26",1
"1970",1
"1970-12-13",1
"1973",1
"1983",1
"1984",1
"1985",1
"1987-05",1
"1989",1
"1991",1
"1992",1
"1999",1
"1C2125",1
"(1 of 2)",1
"\#2\",1
"2001",1
"2001-05",1
"2003-03-08",1
"2005-04-20",1
"2007-07",1
"2010-08",1
"2010-09",1
"2011",1
"2012-04",1
"2014-06",1
"203793",1
"21853",1
"22",1
"22558",1
"26928",1
"(2 of 2)",1
"(2 tone, brown?)",1
"2 tone \vibratilis\",1
"2x morphotype",1
"\#3\",1
"304",1
"31627",1
"3186",1
"380-W",1
"3969",1
"4",1
"4561",1
"463",1
"465",1
"4 pc",1
"4 pc fine",1
"4 pc.- fine",1
"4 pc.- vs trichoblasts",1
"50%",1
"5431",1
"6643",1
"685",1
"70916",1
"961",1
"a ?",1
"A. adippe",1
"A, aff. alpinus",1
"abbottae or fallax",1
"aberrant?",1
", aberrant meleagris?",1
"aberration",1
"?abietina",1
"(abietina?)",1
"Abisai Garcia-Mendoza",1
"abnormal",1
"(abnormal)",1
"(A. \caesarea\)",1
"A. canariensis",1
"Acanthocladium clastobryoides",1
"Acanthocladium hornschuchii",1
"Acanthocladium sublipidum",1
"Acanthocladium surculare",1
"ACC #4",1
"ACC #5",1
"ACC #6",1
"accius",1
"according to G. Saunders 2005",1
"A. celtis mentis",1
"Acidodontium ramicola",1
"Acinonyx",1
"A. clio",1
"acmon",1
"Acolea aemula?",1
"A. columbia",1
"A. cornelia",1
"Acroladium auriculatum",1
"Acroporium brevipes",1
"Acroporium falcifolium",1
"Acroporium nipponense",1
"Acroporium obscurum",1
"Acroporium procerum",1
"Acroporum smallii",1
"=Acrosiphonia",1
"A. C. siccata. B. C. petasata",1
"Actias selene lunae",1
"Actinothuidium hookeri",1
"actinste",1
"(acyaneus group)",1
"adamantius",1
"A. daphne",1
"Adapis",1
"Adelothecium jamaicense",1
"adiposa",1
"A. D. King",1
"admixed",1
"(Adonidae)",1
"adonis",1
"(adusta?)",1
"ad var.",1
"A. D. Zimmerman",1
"aegus",1
"(Aeodes)",1
"= Aeodes gardneri?",1
"? = Aeodes gardneri?",1
"Aepinacodon",1
"Aepyceros ?",1
"Aerobryidium aureo-nitens",1
"Aerobryopsis wallichii",1
"Aerobryum lanosum",1
"aeroginosus group-luteofolius?",1
"(aeruginosus?)",1
"aescula",1
"aff,",1
"aff., 2 sp.",1
"aff. atkinsonianus",1
"aff. candicans",1
"aff. endocarpoides",1
"aff. gemmata",1
"aff. hydrogramma",1
"? affinis?",1
"affin. Stricta",1
"aff. lavenbergi",1
"aff. luteorubella",1
"aff. macrocystis",1
"aff.; n. sp.",1
"aff. punctitaeniatus",1
"aff. radicosus",1
"(aff. R. rhizoides)",1
"aff. ssp. ficaria",1
"aff. sublilicina",1
"aff. T. extensa (ZA.34645)",1
"aff. T. laboriosa (ZA.34647)",1
"aff to hassei",1
"aff. T. versicolor (ZA.34646)",1
"aff, var",1
"aff. violacea",1
"a form",1
"a form of",1
"(A Freak!?!?)",1
"after Hafellner",1
"agaricoid form",1
"Agaricole",1
"Ageronia amphinome",1
"agg",1
"(agglutinata)",1
"Aglossa? sp.",1
"Agnotocastor",1
"\Agree!\",1
"Agriochoerus ?",1
"Agropyron cristatum 2n=14 X Elytrigia libanot",1
"Agropyron cristatum -2n=14 X Elytrigia stipif",1
"Agropyron cristatum 2n=14 X Elytrigia stipifo",1
"Agropyron cristatum 2n = 28 X Agropyron crist",1
"Agropyron cristatum 2n=28 X Agropyron cristat",1
"Agropyron cristatum 2n=42 X Agropyron cristat",1
"Agropyron cristaum (L.) 2n=14 X Elytrigia sti",1
"Agropyron critatum 2n=14 X Elytrigia stipifol",1
"A. H. Smith",1
"A.H. Smith",1
"A. H. Wilson",1
"Ahytherium",1
"Ait",1
"(aka Omphalina epichysium)",1
"(albellus group)",1
"albequina",1
"Albertosaurus cf.",1
"albidus complex",1
"? albiflora",1
"\albino\",1
"albipiluta",1
"(albissima?)",1
"albobrunnescens",1
"albonigra",1
"\alboviolaceous\",1
"Albritton",1
"alcinous",1
"A. leto",1
"Aletocyon",1
"a lichen",1
"alkaliverens or plexipes",1
"alkalivirens group",1
"Allan D. Zimmerman",1
"Allison J. Headdley",1
"Allodesmus",1
"allospora/subfiliformis gps.",1
"allospora/subfiliformis type",1
"\allutus\",1
"Almost fits the description for var. latifolia (Ait.) Fern.",1
", almost fma. gracilis",1
"Aloina ericaefolia",1
"alsia abietina sulliv",1
"Alsia longipes L.& L.",1
"Alsia longipes Lullive. et Lesq.",1
"Alsia longipes, Sull. & Lesq.",1
"Alsia longipes. Sull.&Lesq.",1
"Alsia longipipes Sulliv.",1
"(also called H. lanatum)",1
"Also C. crinita var. gynandra",1
"Also ID as C. crinita var. gynandra",1
"alternative id. O. berteroi",1
"Amblycastor",1
"(Amblystegium)",1
"Amblystegium confernvidis",1
"Amblystegium dissititolium",1
"Amblystegium enerve",1
"Amblystegium Falconeri",1
"Amblystegium floridanum",1
"Amblystegium glaucum",1
"Amblystegium hygrophilum",1
"Amblystegium ovlalatum",1
"Amblystegium subtile",1
"(amesiae ?)",1
"Amity Sh",1
"Ammotrechula pilosa*",1
"Amphicyon?",1
"Amphoridium mougeotii",1
"ampla type",1
"amyloid",1
"anacosta",1
"An aggregate of supposed hybrids",1
"Anamorphic Cronartium",1
"[anamorph of Postia rennyae]",1
"Anancus",1
"? anceps",1
"Anchomomys",1
"Andalgala Fm",1
"and Callithamnion",1
"and dupl.",1
"and Lasiobolus macrotrichus",1
"and Lithophyllum spp.",1
"and Mollisia",1
"and Octospora aggregata",1
"[Andreaea verruculosa Cardot]",1
"Andrew McDonald",1
"Anectangium Pohlia",1
"Anectangium stracheyanum Mitt.",1
"anellariiformis aff.",1
"(A. Nelson) Cronquist",1
"Angstroemia brevipes",1
"Angstroemia jamaicensis",1
"Angstroemia julaes",1
"angusta/crispa/taeniata?",1
"\angusticeps type\",1
"? angustifolium",1
"anisospora",1
"Anisota rubicunda",1
"annetta",1
"annulifer",1
"Anoectangium angustifolium",1
"Anoectangium apiculatum",1
"Anoectangium Bruetelii",1
"Anoectangium crispulum",1
"Anoectangium Dichroum",1
"Anoectangium Jamaicense",1
"Anoectangium liebmannii",1
"Anoectangium rufo-virrde",1
"\anomali\",1
"(Anomali) spilomeus/caninus",1
"(anomalus group)",1
"anomalus group",1
"Anomobryum chlorosum",1
"Anomodon abbreviatus",1
"Anomodon integerrimus",1
"Anomodon planatus",1
"+ another Lithophyllum",1
"? Antennaria umbrinella",1
"Antheraea eucalypti",1
"Antidorcas",1
"a of a&b",1
"Aongstroemia vaginata",1
"Apa. nevadensis",1
"Apantesis ophir on label",1
"Apatela brumosa quenie",1
"Apatela funeralis",1
"Apatura pavonii",1
"apenninicola",1
"? Aphelaria?",1
"Apheliscus cf.",1
"?Aphyllophorales",1
"Aphyllophorales genus?",1
"-apiculata gp.",1
"ap. Lindl.",1
"ap. nov.",1
"(A. polymorpha)",1
"appearing closest to",1
"appears to be",1
"appendiculata cf.",1
"appenninicola",1
"app. longifolium",1
"appr.",1
"appr. cyrtophyllum",1
"appr. I. acradenia",1
"approaches more nearly",1
"approaching A. alpina",1
"approaching A. septenrionalis var. subumbelulata",1
"approaching A.S. puberulenta",1
"Approaching E. leptocladon var. ramosissimum",1
"Approaching Helianthella uniflora var. douglasii. comb. n. ined.",1
"approaching pleniceps?",1
"approaching var admirabilis",1
"approaching var. admirabilis",1
"approaching var. douglasii (n.comb. ined.)",1
"Approaching var. puberulenta",1
"\?appr. S. epilobifolia Ham.\ JBN",1
"appr. S. tenuifolia",1
"aproaching subfusca",1
"(aquaticum)",1
"ara",1
"Aranda schrenckiimenaleas",1
"Archaeohippus cf.",1
"Archidium Founellii Aust.",1
"Archidium japonicum Broth.",1
"Arctodus ?",1
"Arctodus?",1
"Arctotherium",1
"arcturus",1
"ardet. - dulcamara group?",1
"arena",1
"\argentatus\ sensu Kauffman",1
"Arg. falis (?)",1
"Arg. ino",1
"? arguta",1
"Argynnis aphrodite",1
"Argynnis eurynome",1
"Argynnis rupestris",1
"ariane",1
"arinus",1
"armata-spinosa complex",1
"Armillaria mellea group",1
"Armillarioid",1
"(?armoricana)",1
"(armoricana?)",1
"\armoricana\",1
"Arnold",1
"? aromatica",1
"Arthoniales?",1
"aruensis",1
"/arvensis",1
"arvensis gp?",1
"? Ascophanus?",1
"as D. howellii R & C",1
"Asella daphne",1
"As Elymus smithii",1
"as form",1
"[as 'Geaster']",1
"Ashdown",1
"ashii?",1
"Ashley N. Cruz",1
"(as Inocybe echinata)",1
"Asinus",1
"as: Lonicera group tatarica",1
"as named",1
"Asparagaceae: Agavoideae",1
"Asparagopsis armata",1
"(as P. atrovirens BSG)",1
"Aspect of",1
"Aspicilia desertorum",1
"Aspidichthys cf.",1
"(as Polystictus abietinus)",1
"assimils",1
"assorted species",1
"(as sterile Trailliella - phase)",1
"Aster praealtus",1
"Astomum austrocrispum",1
"Astomum Crispum",1
"Astomum crispum (Hedw.) Hampe",1
"Astonia",1
"as var. lanceolatus",1
"as var. typica",1
"athamas",1
"(Athelia)",1
"Atractylocarpus dicranoides",1
"atrapraetextus",1
"Atrichum aculeata",1
"Atrichum parallelum",1
"? atrobrunnea",1
"atrobrunnea group",1
"(atrosanguinea or nigrophyrea?)",1
"(atrovirens) Bab.",1
"(a-type)",1
"atypical - Moser",1
"(Atypique)",1
"audax?",1
"augustifascia",1
"aulacomnium?",1
"au nf. harris",1
"aurantiacus-subdulcis group",1
"aurantiobasis complex",1
"(Auriculata Group)",1
"aus12",1
"aus17",1
"aus20",1
"aus22",1
"aus23",1
"aus28",1
"aus29",1
"aus30",1
"aus31",1
"aus6",1
"Austin Konopik",1
"austrodeflexa",1
"auth",1
"auth?",1
"? authentic",1
"authentic?",1
"authentic; doubtlessly at least",1
"[auth. on label: \Ag.\]",1
"[auth. on label: (Aust.) Broth.]",1
"[auth. on label: (Bory) Duby.]",1
"[auth. on label: \(Schwaegr.) B. S. G.\]",1
"[auth. on label: (Setchell & Gardner) Hollenberg & Abbott]",1
"[Auth. on label: (Sm) Tuck.]",1
"[auth. on label: Wils. ex Mitt.]",1
"[authority on label: (Cham.) Skottsbg.]",1
"auth.; publ?",1
"Auxontodon",1
"a variety of atrovirens",1
"Awned form",1
"Ba",1
"? babylonica",1
"backcross with E. coccineus",1
"? Bactris",1
"? Bactris gasipaes",1
"badiovinaceus group",1
"bairdi brucei",1
"Balaenoptera?",1
"Balaenoptera cf.",1
"Bangiophyte",1
"Barbella Determesii (Ren. et Card.) Fleisch",1
"Barbella Determesii (Ren. et Card) Fleisch",1
"Barbella stevennii (Ren. & Card.) Fleisch.",1
"Barbella tenax (C.M.) Broth",1
"Barbella trichophora (Mont.) Fleisch.",1
"Barber, V",1
"Barbula aciphylla",1
"Barbula aloides",1
"Barbula australasice",1
"Barbula cavilfolia",1
"Barbula crassicostata",1
"Barbula crinita Schultz",1
"Barbula fusca",1
"Barbula gigantea Funk",1
"Barbula glauca var. verbana",1
"Barbula Hornschuchiana",1
"Barbula hornschuchoana",1
"Barbula horrivervis Satio",1
"Barbula lambarensis P. Varde",1
"Barbula latifolia Bry. eur.",1
"Barbula nipponica Noguchi",1
"Barbula obscuriretis Dix.",1
"Barbula pilifera",1
"Barbula Poeppigiana",1
"Barbula pseudopilifera",1
