"waterBody","reps"
"South Pacific Ocean, Java Sea",160
"Atlantic, Mediterranean Sea  - Tyrrhenian Sea, Bay of Naples",159
"Niger River",159
"Pacific, Murcielagos Bay",159
"R. Magdalena basin",159
"18",158
"Goose Creek",158
"Lake Thunderbird",158
"Lake Toba",158
"Little Noxubee River",158
"Pacific Ocean; Gulf of Thailand",158
"Pacific, Pujada Bay",158
"Pacific, Sea of Okhotsk",158
"Pacific, Surigao Strait",158
"Rio Solimoes",158
"South Platte River",158
"West Fork Oak Creek",158
"Tallahoma Creek",157
"Weeks Bay",157
"Atlantic, Mediterranean Sea, Gulf of Tunis",156
"Bay of Fundy",156
"Gulf of Maine",156
"North Pacific Ocean, China Sea, Tilig Bay",156
"Snow Creek",156
"Southern ocean",156
"Johnson Creek",155
"North Atlantic Ocean, Caribbean Sea, Gulf of Mosquitos",155
"North Pacific Ocean, Gulf of Albay",155
"North Pacific Ocean, Visayan Sea, Dupon Bay",155
"San Jacinto River",155
"Alboran Sea",154
"Apalachicola R.",153
"Grand Lake",153
"tributary Rock River",153
"22",152
"Big Muddy River",152
"Little Blue River",152
"Mississippi Sound",152
"Old River",152
"Shelter Island Sound",152
"James Bay",151
"[Minocqua Lake]",151
"Pacific, Bolalo Bay",151
"Sallisaw Creek",151
"St. John's River",151
"Brush Creek",150
"Flint Creek",150
"Maurice R.",150
"Takutu River",150
"Atlantic, Gulf of Maine, Penobscot Bay/Turtle Cove",149
"Curu��",149
"Friday Harbor",149
"Mississippi",149
"Pacific, Kaneohe Bay",149
"Pacific, Madang Harbor",149
"20",148
"Agana Bay",148
"Copiah Creek",148
"Indian, Gulf of Oman",148
"rio do para",148
"3",147
"Hyco R.",147
"Naked Creek",147
"Nhatrang Bay",147
"Barnegat Bay-Little Egg Harbor Basin (misc. creek tribs)",146
"Chippewa River",146
"Guayaquil Gulf",146
"Gulf of Aqaba",146
"Kanawha R.",146
"Laccadive Sea",146
"Malacca Strait",146
"Pacific, Patiente Strait",146
"Peace River",146
"Possession Sound",146
"cayenne",145
"Cuyabeno\Aguarico\Napo\Amazon",145
"Greenland Sea",145
"Newport R.",145
"R��o Hollin",145
"Uphapee Creek - Tallapoosa River",145
"26",144
"Little River Ditch",144
"North Atlantic Ocean, Mediterranean Sea, Tyrrhenian Sea",144
