"data.dwc:preparations","reps"
"pleural",157
"133",156
"pitfall",156
"rm1or2",156
"sternebra",156
"tadpoles",156
"region",155
"extracted",154
"129",153
"central",153
"rap",153
"124",152
"m1or2",152
"microphotograph",151
"spur",151
"subopercula",151
"unidentified",151
"dudley",150
"see",150
"2015",149
"erdschreiber's",149
"may",148
"needles",148
"obs",148
"paramedial",148
"root",148
"128",147
"belgrade",147
"caud",147
"glenoid",147
"135",146
"weaver",146
"à",146
"131",145
"li",145
"molothrus",145
"plastral",145
"rnp",145
"sagitta",145
"xiii",145
"coprolites",144
"2nd",143
"hyo",143
"splint",143
"ytre",143
"127",142
"formaldehyde",141
"the",141
"líquido",140
"microdissection",140
"126",139
"dors",139
"fair",139
"ground",139
"level",139
"munro",139
"132",138
"ethmoids",138
"mounts",138
"power",138
"several",138
"bmnh",137
"formerly",137
"found",137
"freezing",137
"headless",137
"nasal",137
"near",137
"ponited",137
"141",136
"ater",136
"hoof",136
"p7",136
"piece",136
"134",135
"roots",135
"rp3",135
"centra",134
"side",134
"testis",134
"136",133
"red",133
"alive",132
"cephalic",132
"out",132
"premax",132
"philadelphia",130
"sciences",130
"211",129
"erupting",129
"forelimb",129
"upr",129
"h2o",128
"organs",128
"138",127
"145",127
"except",127
"four",125
"137",124
"bm",124
"leafy",124
"legs",124
"notat",124
"tubes",124
"uf",124
"160",123
"cabinet",123
"ction",123
"miles",123
"photoslides",123
"se",123
"cm",122
"deciduous",122
"t.m",122
"boiled",121
"destructive",121
"diaphysis",121
"153",120
"dup3",120
"ácool",120
"1952",119
"tibiae",119
"139",118
"146",118
"gouache",118
"limbs",118
"vellum",118
"142",117
"148",117
"152",117
"inside",117
"mm",117
"zygapophysis",117
"postsacral",116
"some",116
"144",115
"156",115
"guard",115
"metacarpals",115
"most",115
"parasphenoid",115
"case",114
"histology",113
"jr",113
"latex",113
"1960",112
"emb",112
"143",111
"maxillae",111
"both",110
"column",109
"dc",109
"kassert",109
"located",109
"skult",109
"university",109
"preoperculum",108
"strandtmann's",108
"videoboard",108
"woody",108
"astragulus",107
"coral",107
"precaudal",107
"braincase",106
"jackets",106
"segment",106
"147",105
"1nv",105
"hemipenes",105
"paramedian",105
"female",104
"glycerol",104
"up",104
"167",103
"dlp2",103
"fomalin",102
"hyperostosed",102
"including",102
"surangular",102
"1970",101
"exoccipital",101
"ke",101
"original",101
"shield",101
"162",100
"1963",100
"alveolus",100
"dlp3",100
"is",100
"nerve",100
"159",99
"250",99
"dubois",99
"individuals",99
"infructescence",99
"lab",99
"naviculocuboid",99
"po",99
"151",98
"154",98
"157",98
"brown",98
"denticles",98
"institution",98
"partially",98
"pouch",98
"samara",98
"xi",98
"149",97
"175",97
"4more",97
"alveoli",97
"bearing",97
"bohlman",97
"crest",97
"determined",97
"fat",97
"nico",97
"phosphate",97
"us",97
"casts",96
"1955",95
"input",95
"lacking",95
"pickle",95
"airbrushed",94
"barb",94
"barrel",94
"262",93
"astrag",93
"background",93
"med",93
"pinna",93
"155",92
"canon",92
"coverslip",92
"1958",91
"base",91
"bucket",91
"carpals",91
"edent",91
"saline",91
"skeletons",91
"158",90
"cap",90
"cerv",90
"crop",90
"glicerina",90
"hyomandibular",90
"leaves",90
"packed",90
"photoslide",90
"168",89
"bauer",89
"churn",89
"dup2",89
"soilwater",89
"vacuum",89
"valves",89
"walker",89
"washington",89
"161",88
"caudals",88
"finley",88
"fossilized",88
"remains",88
"segments",88
"180",87
