"island","reps"
"Marquesas Islands",153
"Sardegna",153
"Way Key",153
"Bahia Honda Key",152
"Butaritari Atoll",152
"Ishigaki",152
"Johnston",152
"Savai'i",152
"Vurosewa Island",152
"Brown Island",151
"Fakaofo Atoll",151
"Isla Clarion",151
"Kikaiga Shima Id.",151
"Kiriwina",151
"Shelter",151
"Simeonof Island",151
"Kiska Island",150
"La D����sirade",150
"South Coronado Id.",150
"Taboga",150
"Albemarle Island",149
"Babelthuap Island",149
"Bainbridge Island",149
"Rum Cay",149
"saint-paul et amsterdam",149
"San Crist��bal",149
"Spruce Island",149
"Washington (=Teraina)",149
"Baltra",148
"Cuyo",148
"Ducie Atoll",148
"Sitangkai I.",148
"Abaco Islands",147
"Arakabesan I.",147
"Onotoa",147
"Arno Id.",146
"Eua Island",146
"Gillolo Island",146
"Naked Island",146
"Pamilacan Island",146
"Pini",146
"Puna Island",146
"San Andr��s y Providencia",146
"Cuttyhunk Island",145
"Espa��ola",145
"Guana Island",145
"Isla Col����n",145
"Rurutu Island",145
"Tortue Island",145
"Ulebsechel",145
"Great Tobea Island",144
"Iriomote",144
"Apo Id.",143
"Bickerton Island",143
"Carabao Id.",143
"grande-terre",143
"Kanaga Island",143
"Lukunoch Atoll",143
"Satawan Atoll",143
"Tablas I.",143
"Yadua I.",143
"Isla de Roat����n",142
"Santiago Island",142
"St. Davids",142
"Ysabel Island",142
"Hog",141
"Kerala State",141
"Maurice",141
"Sombrero Key",141
"Totoya Island",141
"Ani-jima",140
"Isla Hermite",140
"Manihi",140
"Penrhyn Atoll",140
"Ureparapara",140
"Bonaire Id.",139
"Cedros Island",139
"Culebra I.",139
"D'Entrecasteaux Group",139
"Isla la Ventana",139
"Maria Atoll",139
"Pelsart Id.",139
"Ulebsechel Id.",139
"Atata Island",138
"Florida Islands",138
"Pearl and Hermes Atoll",138
"Butauanan Island",137
"Diego Garcia Island",137
"Emirau Island",137
"futuna",137
"Geelvink Bay Dist.",137
"Namoluk Atoll",137
"Nomwin Atoll",137
"Robinson Crusoe Island",137
"Scilly Atoll [Manuae]",137
"Skomer",137
"Tuamotu Archipelago",137
"Douglas Island",136
"Kanacea I.",136
"McKean Island",136
"Oreor Island",136
"Pan de Azucar Id.",136
"Taboga Island",136
"Baltra Id.",135
"Deer Isle",135
"Fana",135
"Hokkaido I.",135
"ISLA SOCORRO",135
"Rottnest Island",135
"Siberut",135
"Southeast Farallon Id.",135
"Tabuaeran (Fanning Island)",135
"Bow Island",134
"Lae Atoll",134
"Ngemelachel",134
"Pico",134
"Carriacou Island",133
"Gonave I.",133
"Marajo",133
"Reunion",133
"San Jos��",133
"Santa Isabel Island",133
"St. Paul Id.",133
"Tioman Island",133
"Tubuai Island",133
"Block Island",132
"Caroline Atoll",132
"Makatea Island",132
"Sangihe I.",132
"Bathurst Island",131
"de clipperton",131
"Ky��sh��",131
"Man of War Cay",131
"Salsipuedes Id.",131
"Selayar Island",131
"Basilan",130
"Iriomote Shima Id.",130
"Muschu Island",130
"New Hebrides Group",130
"Nossi-Be",130
"Pacijan Id.",130
"Providencia",130
"San Juan Bautista Island",130
"Sapelo",130
"Anaa Atoll",129
"de sao miguel",129
"Duff Reef",129
"Gotland",129
"Great Abaco Island",129
"Hesketh Island",129
"Malolo Island",129
"Natividad",129
"Ujelang Atoll",129
"Balabac Island",128
"con dao",128
"Dauphin Island",128
"Gravina Island",128
"Kolombangara Island",128
"Nauru Island",128
"Green Turtle Cay",127
"Kaho`olawe",127
"Makaroa",127
"Mullet Key",127
"Ngemelachel Island",127
"San Jose Island",127
"San Nicolas",127
"Siluag I.",127
"Warren Island",127
"Frigate Island",126
"guadeloupe",126
"Isla Asuncion",126
"Isla de Los Gemelos",126
"Manado",126
"Matuku",126
"Nanumea",126
"San Cristobal Island",126
"Cooper Id.",125
"Glacier Island",125
"Great Inagua Island",125
"Hong Kong Island",125
"Sao Miguel",125
"Taka Atoll",125
"Taliabu Island",125
"Tuangku",125
"Gull",124
"Isla de Guadalupe",124
"Kikkertasook Island",124
"Maybag Island",124
"Batag Island",123
"Masirah Island",123
"North Bimini",123
"Tagula Island",123
"Aitutaki Island",122
"Apo Island",122
"Gigante South Id.",122
"Isla Grande",122
"Kiritimati (Christmas Island)",122
"Marinduque",122
"Virgin Gorda Island",122
"Christmas",121
"Kalgin Island",121
"Magusaiai Id.",121
"Mecherchar",121
"Palau",121
"Penikese",121
"Sint Eustatius",121
"Vaiatekeue",121
"Hivaoa",120
"James Island (Santiago or San Salvador)",120
"Partida",120
"Semirara Island",120
"Tutuba Island",120
"Grande Comore Island",119
"Kadavu Island",119
