"sex","reps"
"Herbarium Lichenum Fenniae III (101-125)",24
"Herbarium Lichenum Fenniae V (226-250)",24
"Herbarium Lichenum Fenniae VI (276-300)",24
"larva",24
"male; male; female; male; female; female",24
"M, F",24
"+ ser-sec head",24
"11 males, 1 female",23
"14m",23
"1 adult, 2 specimens",23
"1 indiv��duo",23
"1 male, 10 females",23
"1 male, 1 adult",23
"1w,1m",23
"21w",23
"23u",23
"2dQ, 1w",23
"2 females, 7 males",23
"2 females, 8 males",23
"2 males, 8 females",23
"35 males",23
"3w (1w head detached)",23
"3w (1w missing gaster)",23
"4 female",23
"4 females, 8 males",23
"58 adults",23
"5m,2f",23
"5m,3f",23
"63 adults",23
"6 females, 1 males",23
"70 adults",23
"7 workers",23
"8M",23
"8 males, 3 females",23
"8 males, 5 females",23
"alate queen, male, worker",23
"Cryptogram Germany Fasc. 47 (176-200)",23
"female; female; female",23
"F��mea (Oper��ria)",23
"larvae , young",23
"M2",23
"queen, major, minor worker, brood",23
"st.",23
"Stirpes Cryptogram Fasc. XI (1047-1069)",23
"10 males, 2 females",22
"12f",22
"15 specimens",22
"1f + 2m",22
"1m (missing head)",22
"26 males",22
"27 females",22
"2w destructive",22
"44 adults",22
"50",22
"62 undetermined",22
"63 undetermined",22
"9M",22
"Boreali-Americani 181-200",22
"Gminosperma",22
"Lichenes de la Normandie VI",22
"Lichenes Exsiccati (Ser. II) 101-120",22
"Lichenes Slovakia Exsicatti Fasc. III (51-75)",22
"male, alate queen",22
"Male; Female; Female;;",22
"Male, worker",22
"right middle leg of worker",22
"15 sex not recorded",21
"22u",21
"2 male, 1 female",21
"35",21
"4m,4f",21
"4 worker",21
"58 undetermined",21
"59 undetermined",21
"5 male; 3 female",21
"5 males, 7 females",21
"5 workers",21
"60 undetermined",21
"6 workers",21
"7 females, 8 males",21
"7 male; 1 female",21
"8 workers",21
"Boreali-Americani 161-180",21
"C&S M",21
"de-alate queen",21
"Decades of North America Lichens 281-300",21
"embryo",21
"female; male; male",21
"Lichenes Exsiccati Fasc. V",21
"Lichenes Exsiccati (Ser. II) 121-140",21
"male; Female; Female",21
"skel;F",21
"Stirpes Cryptogamae Fasc. IV (342-366)",21
"11 males, 3 females",20
"1F, 4M",20
"1 male, 1 female, 1 adult",20
"1m (PP)",20
"1w, 1s",20
"24",20
"2 Machos",20
"2 tritoninfas",20
"2w minor",20
"34 males",20
"3 females; 1 male",20
"3s",20
"40 males",20
"62 adults",20
"6 male; 2 female",20
"6 males, 7 females",20
"7 males, 4 females",20
"adult male and worker",20
"Boreali-Americani 101-120",20
"Boreali-Americani 121-140",20
"Boreali-Americani 141-160",20
"Decades of North America Lichens 301-320",20
"head",20
"Lecanoroid Lichens",20
"Lechenothica",20
"Lichen Alpium Fasc. II",20
"Lichen Alpium Fasc. III",20
"Lichenes Arctici 1-20",20
"Lichenes Arctici 21-40",20
"Lichenes Arctici 41-60",20
"Lichenes Arctici 61-80",20
"Lichenes de Portugal Fasc. III (281-300)",20
"Lichenes Exsiccati Fasc. I (21-40)",20
"Lichenes Exsiccati Fasc. II (41-60)",20
"Lichenes Exsiccati Fasc. II (61-80)",20
"Lichenes Exsiccati Fasc.  III (101-120)",20
"Lichenes Exsiccati Fasc.  III (81-100)",20
"Lichenes Exsiccati (Ser. I.)",20
"Lichenes Exsiccati (Ser. II.) 1-20",20
"Lichenes Slovakia Exsicatti Fasc. IV (76-100)",20
"Lichens Alpium Fasc. V",20
"Lichens Alpium Fasc. VII",20
"Lichens Alpium Fasc. VIII",20
"Lichens Alpium Fasc. X",20
"Lichens Alpium Fasc. XI",20
"Stirpes Cryptogram Fasc. IX (837-859)",20
