"typestatus","reps"
"voucher of <a href=""http://arctos.database.museum/name/pterostichus adstrictus"">pterostichus adstrictus</a>, page 10 in <a href=""http://arctos.database.museum/publication/10006887"">pantoja et al. 2013.</a>; voucher of <a href=""http://arctos.database.museum/name/pterostichus adstrictus"">pterostichus adstrictus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",257
"possible holotype",252
"voucher of <a href=""http://arctos.database.museum/name/hylurgops rugipennis"">hylurgops rugipennis</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",248
"voucher of <a href=""http://arctos.database.museum/name/ostracoda"">ostracoda</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",246
"epitype",240
"voucher of <a href=""http://arctos.database.museum/name/libellulidae"">libellulidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/libellulidae"">libellulidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",239
",",235
"primary syntypes",235
"authentic",234
"voucher of <a href=""http://arctos.database.museum/name/martes americana"">martes americana</a>, page 707 in <a href=""http://arctos.database.museum/publication/1000157"">yom-tov et al. 2008</a>",228
"type + paratype",227
"syntype; syntype",226
"voucher of <a href=""http://arctos.database.museum/name/hippodamia tredecimpunctata"">hippodamia tredecimpunctata</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",226
"voucher of <a href=""http://arctos.database.museum/name/rhinosimus viridiaeneus"">rhinosimus viridiaeneus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",225
"voucher of <a href=""http://arctos.database.museum/name/amara obesa"">amara obesa</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",224
"hapantotype",221
"típo",221
"voucher of <a href=""http://arctos.database.museum/name/haliplidae"">haliplidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",220
"paratype? of bachia intermedia",219
"voucher of <a href=""http://arctos.database.museum/name/coccinella trifasciata"">coccinella trifasciata</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",218
"fragment",213
"voucher of <a href=""http://arctos.database.museum/name/steremnius tuberosus"">steremnius tuberosus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",212
"topotypes",210
"voucher of <a href=""http://arctos.database.museum/name/bembidion obscurellum"">bembidion obscurellum</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",210
"referral of <a href=""http://arctos.database.museum/name/bombus occidentalis"">bombus occidentalis</a> in <a href=""http://arctos.database.museum/publication/10007370"">mchugh & sikes 2016</a>; voucher of <a href=""http://arctos.database.museum/name/bombus occidentalis"">bombus occidentalis</a> in <a href=""http://arctos.database.museum/publication/10007169"">kerr et al. 2015</a>",208
"paratype of austrochaperina derongo",206
"tertiary",205
"voucher of <a href=""http://arctos.database.museum/name/neothetalia columbiana"">neothetalia columbiana</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",205
"voucher of <a href=""http://arctos.database.museum/name/martes americana""><i>martes americana</i> (turton, 1806)</a>, page 707 in <a href=""http://arctos.database.museum/publication/1000157"">yom-tov et al. 2008</a>",204
"isolectotype; isosyntype",203
"voucher of <a href=""http://arctos.database.museum/name/lepidophorus inquinatus"">lepidophorus inquinatus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",203
"holotype (part of)",201
"voucher of <a href=""http://arctos.database.museum/name/aeshnidae"">aeshnidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/aeshnidae"">aeshnidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",201
"voucher of <a href=""http://arctos.database.museum/name/dictyoptera simplicipes"">dictyoptera simplicipes</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",200
"voucher of <a href=""http://arctos.database.museum/name/bombus frigidus"">bombus frigidus</a> in <a href=""http://arctos.database.museum/publication/10007169"">kerr et al. 2015</a>",199
"voucher of <a href=""http://arctos.database.museum/name/collembola"">collembola</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",197
"conserved type",194
"holotype + allotype",194
"possible isosyntype",194
"referral of <a href=""http://arctos.database.museum/name/anthomyiidae"">anthomyiidae</a> in <a href=""http://arctos.database.museum/publication/10007372"">sikes et al. 2016</a>",194
"voucher of <a href=""http://arctos.database.museum/name/bombus centralis"">bombus centralis</a> in <a href=""http://arctos.database.museum/publication/10007169"">kerr et al. 2015</a>",192
"isonéotype",188
"isolectotipo",186
"microslide of type",185
"voucher of <a href=""http://arctos.database.museum/name/sphaeriidae"">sphaeriidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",185
"paratype..paratype",184
"voucher of <a href=""http://arctos.database.museum/name/veliidae"">veliidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/veliidae"">veliidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",181
"voucher of <a href=""http://arctos.database.museum/name/sorex cinereus"">sorex cinereus</a>, page 24 in <a href=""http://arctos.database.museum/publication/10005403"">peirce and peirce 2005</a>; voucher of <a href=""http://arctos.database.museum/name/sorex cinereus"">sorex cinereus</a>, page 3 in <a href=""http://arctos.database.museum/publication/10007192"">baltensperger and huettmann 2015</a>",180
"syntype(s)?",179
"referral of <a href=""http://arctos.database.museum/name/nebria nivalis"">nebria nivalis</a> in <a href=""http://arctos.database.museum/publication/10007372"">sikes et al. 2016</a>; voucher of <a href=""http://arctos.database.museum/name/nebria nivalis"">nebria nivalis</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",178
"paratype of acutotyphlops kunuaensis",177
"voucher of <a href=""http://arctos.database.museum/name/trypodendron lineatum"">trypodendron lineatum</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",177
"holotype of junior synonym",174
"type(s)?",173
"voucher of <a href=""http://arctos.database.museum/name/ceratapogonidae"">ceratapogonidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>; voucher of <a href=""http://arctos.database.museum/name/ceratapogonidae"">ceratapogonidae</a> in <a href=""http://arctos.database.museum/publication/10007264"">lewis et al. 2015</a>",173
"voucher of <a href=""http://arctos.database.museum/name/leptinillus validus"">leptinillus validus</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",171
"voucher of <a href=""http://arctos.database.museum/name/lepus othus"">lepus othus</a> in <a href=""http://arctos.database.museum/publication/10007489"">cason et al. 2016</a>",170
"syntype of archaeoplax signifera",169
"épitype",169
"metatype",167
"voucher of <a href=""http://arctos.database.museum/name/conchostraca"">conchostraca</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",166
"?",165
"syntype fragment",165
"voucher of <a href=""http://arctos.database.museum/name/baetidae"">baetidae</a> in <a href=""http://arctos.database.museum/publication/10007265"">lewis et al. 2014</a>",165
"paratype(s)?",164
"voucher of <a href=""http://arctos.database.museum/name/atheta strigosula"">atheta strigosula</a>, page 0 in <a href=""http://arctos.database.museum/publication/10006537"">bousquet, et al. 2013</a>",163
"voucher of <a href=""http://arctos.database.museum/name/protocalliphora tundrae"">protocalliphora tundrae</a>, page 703 in <a href=""http://arctos.database.museum/publication/10006539"">hagelin et al. 2010.</a>",163
