v_formation,reps
Widder Sh,1
Staff,1
Alfred Sh.,1
Sheep Creek Fm?,1
Bearpaw FM,1
BELMONT FORMATION,1
Sandsfoot Clay Member,1
Roberts Mountain Fm,1
Torbou,1
Dalhousie Sh.,1
Desau,1
Cerbatana Gravels,1
Ganhaizi,1
Willamette,1
Sol: d'apport hydromorphe sur argile aluuviale au dessus de sable fin minacé.,1
pierre Sh,1
Iola FM: Muncie Creek Shale Mbr,1
Goldlauter Fm,1
Malaga Mudstone,1
Pontesford Shales,1
GAIMAN FORMATION,1
Open Door Fm,1
Espada?,1
Upper Weald Clay,1
"Silica Sh., prob.",1
Cardiel,1
Caradoc,1
Battle Mountain,1
McLeansboro Grp,1
Jackson (?),1
Endroit sableux; sol: gley d'ensemble sur argile alluviale à forte salure,1
"Dry Tank and ""flaggy"" member",1
"Pampeano, Mas Inferior",1
Formation Hammana,1
Vaureal Formation,1
Xiaowa Fm,1
Chamber Tuff Formation,1
Khobar Fm,1
Chihsia Formation,1
Topanga Fm.,1
Wind River Formation; Lost Cabin Beds,1
Upper Monobegawa Formation,1
Boone Limestone,1
Quehuita,1
Croupes convexees; Roches schistes de Kanté,1
GREAT OOLITE,1
Greenish Volcanic Graywacke,1
Panther Mountain shale and sandstone,1
Roches: Shales,1
Vienna shale,1
Elizavetino,1
Thrifty-Graham Fm,1
Gaer Fawr Formation,1
Shiohama,1
Sauramachi,1
RAMP CREEK,1
MIzuyagadani Formation,1
El Oftal Fm,1
Inguchan,1
Meadville Ls,1
Carters Limestone Formation,1
Ischigualasto FM,1
Winnemucca,1
Chico Shale,1
Middlesex,1
source au bord de la route.,1
Chehalis Fm,1
CROWN POINT FORMATION,1
Mable Falls Ls,1
BURDIEHOUSE SHALES,1
Navesink-Redbank,1
Auburn Formation,1
STONEFIELD SLATES,1
Otis Ls,1
Molasa Patagonica,1
Baitutian,1
Pribrezhninskaya,1
Kiamichi Shale to  Ft. Worth Limestone,1
Continental terminal; sol faiblement ferralitique non hydromorphe.,1
LAKE VALLEY FORMATION,1
White River Formation ?,1
LOCKPORT DOLOMITE,1
Roches: Shales grèseux.,1
Frio Formation,1
Odoji,1
Gydo Shale,1
"Buda Ls, top of",1
Lyons,1
Corner Of The Beach Fm,1
Piqua Ls,1
Leibodenmergel,1
L. Parrsboro,1
Watson Ls,1
Kewsarck Ls,1
Ed1,1
Pipestone Creek,1
Abo Sandstone Formation,1
San Miguel Fm,1
Fossil Brook Fm,1
Parras Shale,1
Plateau cuirasé; granito-Gneiss,1
Kinzers Fm.,1
NOWATA SHALE,1
Kim Fjelde,1
Upper Red Fm.,1
Long Lake Formation,1
Sangomore,1
Blucks Pool Limestone,1
Santa Maugarita,1
Vilser Kalk,1
El Morterito,1
Otani Conglomerate (Mesozoic),1
Iimuro Fm,1
Katou Formation,1
Schoonover,1
Carnoas Shale,1
Zeuglodon Bed,1
Main Street FM,1
Pan rocheux humide,1
Pointe-Bleue Shale,1
Kuznetsk,1
Pine Crest Fm,1
ATHENS SHALE,1
Misho,1
Purbec Fm,1
Santa Ana Sh,1
Saxicava Cl,1
Norwood Tuff Fm,1
Hamilton Fm. (originally),1
STARBOROUGH FORMATION,1
"Ft. Payne Chert, Florence",1
Idaho Beds,1
Caer,1
Beaverhill Lake,1
Lovick Sh,1
El Monterito Formation,1
Roches silicieuses.,1
Atsusabu,1
Bestamak,1
Burlington limestone,1
Ferrugineus-Schicht,1
Hell Creek Formation?,1
Natori Gr.,1
Karlstadt Fm ?,1
Aveline's Hole Limestone,1
Shell Rock Limestone Formation,1
Manitou,1
GELLIBRAND MARL,1
Canature,1
Lake Flirt Fm.,1
Rittersturz Fm,1
Minilog,1
Hancock,1
Upper Munchelkalk (Upper Ceratites beds),1
