v_member,reps
Towle Sh Mbr,1
Nagaoling Mbr,1
Ellis Bay zone 4-6,1
Ofisco Shale,1
upper portion,1
Hazleton Bridge Member,1
Chama Sand,1
Lower Stewartville,1
Veselá,1
Cow Branch upper Mbr,1
Calcaires d'Aujon,1
Brachina,1
Norwalk Mbr,1
Upper Kharga Shale,1
Pontoon Hill Member,1
Sables d'Aizy (Member),1
"TURNER SANDY MBR, TOP OF",1
AMES? LS,1
Karelskraal Member,1
Kingsbury Conglomerate Mbr,1
upper Ladore Shale,1
Stonehouse Lower Mbr,1
Bed 10 ?,1
White ash,1
Burgsvik Beds,1
"Whitewater Mbr., base",1
Quarry Ridge Grits,1
Wellingborough Limestone Member,1
Lower Clay,1
PIERRE M,1
Rhynchonella ringens bed?,1
Jupiter zone 5 or 9,1
Yingshanpo,1
Bills Creek Mbr,1
Toyazawa,1
Crystal Falls Limestone,1
Jordan Limestone,1
Douglas Creek-Garden Gulch,1
Pichi Neuquén,1
Montenegro Shale,1
Dolomitic,1
Wayside Sh Mbr,1
WINDMILL POINT MEMBER,1
Farrington Member,1
Whitwell Sh Mbr,1
Buckingham Facies,1
Zone 17 ?,1
Springer Formation above black shale,1
MOUNT HOPE MEMBER,1
Cycle 3,1
Cobelskill Ls Mbr,1
Howard Ls Mbr,1
English Head zone 3-4,1
Coelosphaeridium,1
Labirdie Ls Mbr,1
Frances Creek Shale,1
Grape Creek Ls Mbr,1
Elysian Park Sandstone,1
Harrell Sh Mbr,1
Grandglise Sand,1
SALESVILLE SHALE MEMBER,1
Calcareous Grit,1
South Welles Ls Mbr,1
Unit S4ii,1
Salamonie Dol Mbr,1
"Lower C Member, Pioche Shale",1
Prairie Bluff Member,1
Tibbee,1
Saint Croix Member,1
Basal Francis Formation,1
Upper Redwater Shale,1
Inola Ls Mbr,1
Dunphail Siltstone,1
Seville Limestone Member,1
Fernvale Mbr,1
Tiawah Ls Mbr,1
Eldridge Creek Mbr,1
Raines Corner Sh Mbr,1
Lower Group,1
Banné/Virgula,1
Koty s,1
Semri,1
MIDDLE HELL CREEK,1
Czortkow Czortkow Member,1
Austifjorden Sandstone,1
Minato Shale,1
Herrin (no. 6) Coal Member,1
Turner Member,1
Holdenville Shale,1
Doublehorn Sh Mbr,1
South Bend Limestone,1
Tucker Cove,1
Winslow Base (Des Moines),1
Oolithe Ferugineuse,1
Manca,1
Glenrock limestone,1
Viesca Mbr,1
Minchinhampton Limestone Member,1
Kohsaka Conglomerate M.,1
Lower Sundance,1
Lewis Run,1
LARSH-BURROAK SHALE,1
male inflorescence,1
DUNCANNON,1
Upper Decorah Shale,1
Todos Santos,1
Argiles à Lignites d'Epernay Member,1
Britton Shale,1
Oak Grove Sand,1
Gault Clay,1
Bridger B,1
Lower Trigonia Grit Member,1
Weburg,1
Cave Hill Member,1
-84.35m on Dougl. Ref. Sect.,1
Cayuta Sandstone,1
Chattenham Coal Mbr,1
Marianna,1
Sherman Ridge,1
"ex-junction beds, Phosphatic pebble beds",1
Mahoning Ss,1
Loyola Limestone,1
PIRIE MEMBER,1
Lower Arkose Unit,1
Emerson School,1
Kegel Shales,1
Middle Calcareous Grit,1
DE-NA-ZIN,1
Jacque Mountain Limestone?,1
Ross Limestone Member,1
Mason City Member Shale,1
Cross Limestone,1
Fort Thompson Fauna,1
Sasage Conglomerate & Sand,1
Glynboro,1
Caloosahatchee Fauna,1
Cayton Gill Beds,1
Discoceratitenschichten,1
Mexia Member,1
upper shales,1
Rodelv,1
Perote Member,1
Bishop Brook Limestone,1
E Coal,1
Sta.29,1
