v_earliestEpochOrLowestSeries,reps
Tournaisian,420
Early Triassic,2724
Cambrien moyen,3236
Late Cretaceous,115620
Helderbergian,677
"MIOCENE, LATE OR PLEISTOCENE, LATE",166
Upper Ordovician,1958
"PLEISTOCENE,MIDDLE?",3495
Lower Cretaceous,9127
"Pleistocene,Pliocene",4520
late Pleistocene,170
middle Pleistocene,170
Middle-Miocene,170
"Pleistocene, late",70059
LowerJurassic,428
Pragian,2476
LATE EOCENE,6060
"EOCENE,MIDDLE",15789
Cincinnatian,174
Late Carboniferous,174
"Cretaceous, Late",175
Late Mississippian,943
Eocene/Oligocene,1199
Pliocene/Pleistocene?,176
Whiterockian,176
"Eocene, late",2737
"PALEOCENE,EARLY",946
Late Permian,5554
Miaolingian,17586
Early Cretaceous,33202
Ordovician,179
MIDDLE PENNSYLVANIAN,2227
LATE OLIGOCENE,1206
Late Jurassic,10934
Miocene,250294
Middle Eocene,4023
Devonian,184
Late Cambrian,952
LATE PALEOCENE,1465
PLIOCENE?,186
"Oligocene, early",4282
Early,5050
PLIOCENE,80570
Eocene | early?,187
upper Miocene,188
"Eocene, Oligocene",188
Latest Devonian (Fammenian),446
Miocene | late,1982
EARLIEST EOCENE,447
Middle Pennsylvanian,90303
Oligocene,108991
Lower Silurian,192
Devonien supérieur,193
actuel,193
Oligocene ?,194
Dévonien supérieur,706
MISSISSIPPIAN,195
Miocene; Upper,1731
"Oligocene, late",8131
"PLIOCENE,LATE",19395
Pennsylvanien supérieur,88771
Quaternaire,453
Pennsylvanien,1221
"Pliocene,Pleistocene",198
Middle Oligocene,454
"Eocene, Lower",2502
Missourian,967
late Eocene,967
Early Middle Jurassic,200
Oligocene E,203
Upper Devonian,2765
