continent,reps
Belle Creek,21
Belle Smith Sping,5
Bellinger River,7
Belly River,7
Below Lake Randall,1
Belterra,44
Belém,2
Bemus Bay,1
Ben Davis Creek,2
Benin,6
Benjies Lake,2
Bennett Creek,3
Bennett Springs,2
Benson Creek,6
Bent Creek,4
Beouf Bayou,1
Berens River,3
Bering Sea,384
Bering Sea?,2
Bering Strait,2
Bermuda Island,1
Bertha Bv Outlet,1
Betsie River,2
Beulah Pond,2
Beuron-Danube River,4
Big Alkalai Lake,11
Big Bailey Run,9
Big Bass Lake,1
Big Bearskin Creek,1
Big Ben National Park,2
Big Blue Creek,3
Big Blue Mounds Creek,8
Big Blue River,17
Big Bonito Creek,9
Big Branch,1
"Big Branch, Tributary Mississippi River",5
Big Brush Creek,17
Big Bug Creek,1
Big Bureau Creek,51
Big Bushkill Creek,1
Big Cave Run,2
Big Cedar Creek,1
Big Cedar Riv,5
Big Clifty Creek,4
Big Coldwater Creek-  Tributary  East Fork,1
Big Cottonwood Creek,4
Big Cottonwood creek,64
Big Cove Creek,4
Big Cr,1
Big Creek,263
"Big Creek,",1
Big Darby Creek,73
Big Eagle Creek,3
Big Eastatoe Creek,1
Big Eau Pleine River,5
Big Elk Creek,1
Big French Creek,1
Big George Creek,1
Big Grand Pierre Creek,71
Big Hatchet Creek,3
Big Hollow Creek,1
Big Hunting Creek,1
Big Indian Creek,7
Big Juniper Creek,3
Big Lake,43
Big Laurel Creek,9
Big Lost Creek,7
Big Maumelle River,3
Big McAdoo Creek,15
Big Mill Creek,2
Big Monon Ditch,1
Big Mounds Drainage Ditch,1
Big Muddy,1
Big Muddy Riv.,1
Big Muddy River,76
Big Paint Branch Creek,1
Big Panoche Creek,6
Big Pic River,5
Big Pine Creek,52
Big Piney River,20
Big Pitman Creek,3
Big Qualicum River,3
Big Raccoon Creek,13
Big Renox Creek,5
Big Richland Creek,4
Big River,11
Big Roaring Bay,1
Big Rock Creek,102
Big Run,1
Big Sable River,132
Big Saline Bay,1
Big Sandy Cr,1
Big Sandy Creek,3
Big Shawnee Creek,10
Big Silver Lake,1
Big Slough,4
"Big Slough Ditch,",1
Big Slough Drainage Ditch,4
Big South Fork Cumberland River,2
Big Spring,2
Big Springs,27
Big Springs Creek,12
Big Stoney[Stony] Creek,2
Big Sucker Creek,14
Big Sur,1
Big Swan Creek,4
Big Thompson River,54
Big Three Mile,1
Big Three Mile Creek,7
Big Timber Creek,3
Big Trout Lake,31
Big Walker Creek,14
Big Walnut Creek,38
Big Wau Creek,9
Big West Fork Creek,1
Big Wills Creek,4
Big Wood River,5
Big three mile,2
Bill Dick Spring,2
Billings Creek,14
Billy Creek,2
Bill�s Creek,28
Biobio River,8
Birch Creek,2
Birch Lake (lake?),1
Birch creek,3
Birds Creek,1
Birney Creek,2
Bishop Creek,6
Bismarck Arch.,1
Bitter root river,2
Bitteroot River,4
Bitterroot River,3
Bivens Pond,22
Black Ash Creek,3
Black Brook,6
Black Creek,33
Black Fork Mohican River,14
Black Hills North Fork,5
Black Lake,6
Black Lick River,4
Black Partridge Creek,25
Black Partridge Creek (#1),1
Black Partridge Creek (#2),1
Black RIver,2
Black River,303
Black Run,14
Black Sea,7803
Black Slough,53
Black Sturgeon River,2
Black Valley Branch,2
Black Walnut Creek,53
Black's Fork River,33
Black-tail Deer Creek,4
Blackberry Creek,92
Blackburn Branch,3
Blackburn Creek,16
Blackburn Fork,4
Blacketts Lake,1
Blackfoot River,23
Blackfoot River bottom land,4
Blackhawk Creek,1
Blackjack Branch,2
Blackledge River,2
Blacklick Creek,8
Blackman Creek,51
Blacksmith Fork River,1
Blacksmith Fork creek,1
Blacksnake Creek,1
Blacktail Deer Creek,7
Blackwater River,88
Blackwood Creek,2
Blair Spring,4
Blalock Creek,1
Bleckmyrbacken Brook,4
Blelham Beck,2
Blelham Fish Pond Beck,1
Blind River,1
Blitzen River,5
Blodget Creek,2
Bloody Run,1
Blooming Grove Creek,4
Blue Beaver Creek,4
Blue Creek,23
Blue Earth River,73
Blue Hole Quarry,1
Blue Joint Drainage Ditch,2
Blue Mountain Lake,23
Blue RIver,5
Blue River,52
"Blue River, tributary of McKenzie River",3
Blue Rock Creek,1
Blue Spring,9
Blue Spring Creek,4
Blue Springs,13
Blue Springs Creek,40
Blueberry Lake,4
Bluegrass Creek,15
Blues Creek,1
Bluestem Lake,188
Bluff Canal,2
Bluff Lake,2
Boar Cr,3
Boar Creek,2
Board Camp Creek,26
Boardman River,72
Boat Run,1
Boathouse 2 Beck,3
Boathouse Beck,1
Boatwright Creek,3
Bob Brank Brush Creek,5
Bobs Lake Brook,7
Bobundara Creek,28
Bocco Creek,5
Bog A,3
Bog Brook,26
Bog Creek,8
Bogachiel River,2
Boggs Creek,8
Boggy Marsh Creek,1
Bogue Falaya River,8
Bogue Lusa Creek,33
Bogueloosa Creek,2
Bohall Lake,3
Bohannon Creek,3
Boiling River,2
Boise Brule River,3
Boise River,28
Bokenfehalas Creek,1
Bokes Creek,5
Bolin Branch,7
Bolt Creek,1
Boneyard Creek,15149
Bonita Creek and Gila River,3
Bonito Creek,19
Bonito Creek and Spring,18
Bonpas Creek,63
Bontio Creek and Spring,1
Booger Swamp,2
Boogera Lagoon,1
Boom Lake,1
Boomer Swamp,2
Boquete River,1
Bordeaux Creek,4
"Bordure Ouest de la baie d'Antsiranana""",1
Borego Springs,1
Bos Springs,1
Bosque Andino,7
"Bosque Andino predominado por Quercus humboldtii y Bromeliaceae, Borde bosque",1
Bottom Creek,10
Boucouas Stream,1
Boulder Creek,56
"Boulder Creek, Mill Creek",8
Boulder Lake,11
Boundary Creek,12
Bourbeuse Creek,1
Bourbeuse River,3
Bow  River,2
Bow Lake,4
Bow River,13
Boxelder Creek,4
Boyd's Creek,2
Boyden Creek,2
Boyden Creek (Lock Alpine Creek),6
Boyer Creek,1
Boykin Spring,2
Boyne River,71
Br. Cache R.,12
Br. Snow Fork,1
Bradely Lake,2
Bradford Creek,1
Bradley Brook,1
Bradley Lake,1
Bradshaw  Creek,7
Bradshaw Creek,11
Bradys Lake,10
