taxonRank,reps
Dan Moore/1999/023,3
Dan Moore/1999/025,6
Dan Moore/1999/026,6
Dan Moore/1999/028,1
Dan Moore/1999/029,22
Dan Moore/1999/03,7
Dan Moore/1999/030,2
Dan Moore/1999/031,3
Dan Moore/1999/032,1
Dan Moore/1999/033,2
Dan Moore/1999/034B,3
Dan Moore/1999/035,7
Dan Moore/1999/040,6
Dan Moore/1999/043,6
Dan Moore/1999/044,38
Dan Moore/1999/044PN,1
Dan Moore/1999/045A,7
Dan Moore/1999/046,10
Dan Moore/1999/047,14
Dan Moore/1999/048,37
Dan Moore/1999/048PN,11
Dan Moore/1999/049,1
Dan Moore/1999/050,13
Dan Moore/1999/052,10
Dan Moore/1999/053,2
Dan Moore/1999/054,1
Dan Moore/1999/055,7
Dan Moore/1999/056,4
Dan Moore/1999/057A,1
Dan Moore/1999/057B,1
Dan Moore/1999/059A,7
Dan Moore/1999/062,3
Dan Moore/1999/063,15
Dan Moore/1999/065,8
Dan Moore/1999/066,2
Dan Moore/1999/067,11
Dan Moore/20/0792,5
Dan Moore/20/3375,1
Dan Moore/20/772,1
Dan Moore/23/1879,1
Dan Moore/24/1114,1
Dan Moore/30/1947,7
Dan Moore/35/2567,5
Dan Moore/35/2573,2
Dan Moore/40/3261,1
Dan Moore/42/3697,1
Dan Moore/43/3735,1
Dan Moore/n/k/0059,1
Dan Moore/n/k/0346,3
Dan Moore/n/k/0349,2
Dan Moore/n/k/0350,2
Dan Moore/n/k/0402,1
Dan Moore/n/k/0421,1
Dan Moore/n/k/0439,1
