organismScope,reps
Aspergillus awamori Nakazawa,8
Aspergillus bombycis Peterson & al.,1
"Aspergillus brasiliensis Varga, Frisvad & Samson",7
Aspergillus brevipes G. Smith,1
Aspergillus brunneo-uniseriatus S. Singh & Bakshi,1
Aspergillus brunneoviolaceus Batista & H. Maia,4
Aspergillus caelatus Horn,3
Aspergillus caesiellus Saito,1
Aspergillus caespitosus Raper & Thom,2
"Aspergillus calidoustus Varga, Houbraken & Samson",15
Aspergillus candidus Link : Fries,8
Aspergillus candidus Link ex Fries,5
"Aspergillus caninus (Sigler, Deanna A. Sutton, Gibas, Summerbell & Iwen) Houbraken, Tanney, Visagie & Samson",1
Aspergillus carbonarius (Bainier) Thom,13
Aspergillus carneus Blochwitz,1
Aspergillus cervinus Massee,1
Aspergillus cervinus Massee emend. Neill,2
Aspergillus chevalieri L. Mangin,12
Aspergillus citrisporus (von Höhnel) Raper Fennell & Tresner,1
Aspergillus clavatoflavus Raper & Fennell,1
Aspergillus clavatus Desmazières,24
Aspergillus conicus Blochwitz,3
Aspergillus coremiiformis Bartoli & Maggi,2
Aspergillus creber sp. nov.,9
Aspergillus cristatus Raper & Fennell,3
Aspergillus deflectus Fennell & Raper,1
Aspergillus dimorphicus B.S. Mehrotra & R. Prasad,1
Aspergillus duricaulis Raper & Fenell,1
Aspergillus eburneocremeus Sappa,2
Aspergillus ellipticus Raper & Fennell,2
"Aspergillus europaeus Hubka, A. Nováková, Samson, Houbraken, Frisvad, M. Kolařík",2
"Aspergillus felis Barrs, van Doorn, Varga & Samson",1
Aspergillus ficuum (Reichardt) Hennings,13
Aspergillus flaschentraegeri Stolk,1
Aspergillus flavipes (Bainier & Sartory) Thom & Church,3
Aspergillus flavofurcatus Batista & Maia,4
Aspergillus flavus Link : Fries,30
Aspergillus flavus Link ex Fries,72
Aspergillus flavus Link ex Fries var. columnaris Raper & Fennell,4
"Aspergillus floccosus (Y.K. Shih) Samson, S.W. Peterson, Frisvad & Varga",1
"Aspergillus floridensis Ž. Jurjeviæ, G. Perrone & S. W. Peterson, sp. nov.",1
Aspergillus foetidus Thom & Raper,5
"Aspergillus fructus Jurjevic, S.W. Peterson & B.W. Horn",1
Aspergillus fumigatus Fresenius,316
Aspergillus fumigatus Fresenius var. ellipticus Raper & Fennell,2
Aspergillus fumigatus var. ellipticus Raper & Fennell,1
Aspergillus funiculosus G. Smith,1
Aspergillus giganteus Wehmer,6
Aspergillus glaucus (Linnaeus) Link,4
Aspergillus heteromorphus Batista & Maia,2
"Aspergillus ibericus Serra, Cabanes & Perrone",1
Aspergillus insuetus (Bainier) Thom & Church,2
Aspergillus intermedius Blaser,2
Aspergillus itaconicus Kinoshita,2
Aspergillus janus Raper & Thom,1
Aspergillus janus Raper & Thom var. janus,1
Aspergillus japonicus K. Saito,6
Aspergillus japonicus Saito,5
"Aspergillus jensenii Jurjevic, S.W. Peterson & B.W. Horn",5
Aspergillus lentulus Balajee & K.A. Marr,2
Aspergillus luchuensis Inui,1
Aspergillus melleus Yukawa,3
Aspergillus microcysticus Sappa,1
"Aspergillus micronesiensis Visagie, Hirooka & Samson",6
Aspergillus montevidensis Talice & Mackinnon,2
Aspergillus nidulans (Eidam) Winter,22
Aspergillus niger van Tieghem,100
Aspergillus niveus Blochwitz,3
Aspergillus nomius Kurtzman & al.,4
"Aspergillus nomius Kurtzman, B.W. Horn & Hesseltine",1
Aspergillus ochraceus Wilhelm,9
Aspergillus oryzae (Ahlburg) Cohn,7
Aspergillus oryzae (Ahlburg) Cohn var. brunneus Murakami,1
Aspergillus oryzae (Ahlburg) Cohn var. effusus (Tiraboschi) Ohara,1
Aspergillus oryzae (Ahlburg) Cohn var. oryzae,7
Aspergillus oryzae var. brunneus Murakami,1
Aspergillus ostianus Wehmer,1
"Aspergillus pallidofulvus Visagie, Varga, Frisvad & Samson",1
Aspergillus pallidus Kamyschko,4
Aspergillus parasiticus Speare,16
Aspergillus parasiticus Speare var. globosus Murakami,1
Aspergillus parasiticus var. globosus Murakami,1
Aspergillus parvulus G. Smith,1
Aspergillus penicillioides Spegazzini,7
Aspergillus persii A. Montemartini & Zotti,1
Aspergillus persii A.M. Corte & Zotti,3
Aspergillus petrakii Vörös,1
Aspergillus phoenicis (Corda) Thom,2
Aspergillus proliferans G. Smith,2
Aspergillus pseudodeflectus Samson & Mouchacca,3
Aspergillus pseudoglaucus Blochwitz,11
"Aspergillus pseudonomius Varga, Samson & Frisvad",1
"Aspergillus pseudoustus Frisvad, Varga & Samson",1
Aspergillus pulverulentus (Mc Alpine) Thom,1
Aspergillus pulverulentus (McAlpine) Thom,2
Aspergillus puniceus Kwon & Fennell,7
"Aspergillus puulaauensis Jurjevic, S. W. Peterson & B. W. Horn",3
"Aspergillus puulaauensis Jurjevic, S.W. Peterson & B.W. Horn",1
Aspergillus restrictus G. Smith,8
Aspergillus restrictus gr.,3
"Aspergillus ruber (König, Spieckermann & Bremer) Thom & Church",3
Aspergillus rugulosus Thom & Raper,1
Aspergillus sclerotiorum Huber,3
Aspergillus sojae Sakaguchi & Yamada,1
Aspergillus sojae Sakagushi & K. Yamada ex Murak,2
Aspergillus sp.,2
Aspergillus sparsus Raper & Thom,2
Aspergillus spelunceus Raper & Fennell,2
Aspergillus spinulosus Warcup in Raper & Fennell,1
Aspergillus stellatus Curzi,1
"Aspergillus striatus J.N. Rai, Tewari & Mukerji",1
Aspergillus stromatoides Raper & Fennell,1
"Aspergillus subalbidus Visagie, Hirooka & Samson",2
Aspergillus subolivaceus Raper & Fennell,1
Aspergillus sulphureus (Fresenius) Thom & Church,2
Aspergillus sydowii (Bainier & Sartory) Thom & Church,39
"Aspergillus tabacinus Nakazawa, Y. Takeda, Simo & A. Watanabe",5
Aspergillus tamarii Kita,26
"Aspergillus templicola Visagie, Hirooka & Samson",2
Aspergillus terreus Thom,119
Aspergillus terreus Thom var. africanus Fennellet Raper,1
Aspergillus terreus Thom var. terreus,5
Aspergillus terreus gr.,1
Aspergillus terreus var. africanus Raper & Fennell,3
Aspergillus terreus var. aureus Thom & Raper,4
Aspergillus terreus var. globosus J.N. Rai et al.,1
Aspergillus terricola Marchal,1
Aspergillus thomii G. Smith,2
Aspergillus tritici B.S. Mehrotra & M. Basu,6
Aspergillus tubingensis (Schober) Mosseray,63
"Aspergillus turcosus S.B. Hong, Frisvad & Samson",1
Aspergillus unguis (Emile-Weil & Gaudin) Thom & Raper,1
Aspergillus unguis (Weill & L. Gaudin) C.W.Dodge,7
Aspergillus ustus (Bainier) Thom & Church,27
"Aspergillus uvarum G. Perrone, Varga & Kozakiewicz",2
Aspergillus versicolor (Vuillemin) Tiraboschi,26
Aspergillus versicolor gr.,1
Aspergillus viridinutans Ducker & Thrower,3
Aspergillus wentii Wehmer,5
Aspergillus westerdijkiae Frisvad & Samson,1
Asteromella lupini (Ellis & Everhart) Petrak,1
Asteromyces cruciatus M. & F. Moreau ex Hennebert,2
Asterostroma andinum Patouillard,1
Asterostroma cervicolor (Berkeley & Curtis) Massee,3
Asterostroma laxum Bresadola,3
Asterostroma medium Bresadola,5
Asterostroma muscicola (Berkeley & M.A. Curtis) Massee,2
Asterostroma ochroleucum Bresadola,8
Asterostroma sp.,2
Astraeus pteridis (Shear) Zeller,1
Athelia decipiens (von Höhnel & Litschauer) J. Eriksson,1
Athelia epiphylla Persoon : Fries,1
Athelia rolfsii (Curzi) Tu & Kimbrough,11
Atrosetaphiale flagelliformis Matsushima,2
Aureobasidium dalgeri (Morelet) Hermanides-Nijhof,1
Aureobasidium melanogenum (Hermanides-Nijhof) Zalar P.,6
Aureobasidium microstictum (Bubák) W.B. Cooke,4
Aureobasidium pullulans (de Bary) Arnaud,4
Aureobasidium pullulans (de Bary) Arnaud var. pullulans,5
Aureobasidium pullulans (de Bary) G. Arnaud,26
Aureobasidium pullulans (de Bary) G. Arnaud var. pullulans,16
Aureobasidium pullulans var. melanigenum Hermanides-Nijhof,17
Auricularia auricula (Linneus : Fries) Underwood,4
Auricularia cornea (Ehrenberg : Fries) Ehrenberg ex Endlicher,2
Auricularia fuscosuccinea (Montagne) Farlow,2
Auricularia mesenterica (Dickson : Fries) Fries,3
Auricularia polytricha (Montagne) Saccardo,5
Aurificaria luteo-umbrina (Romell) Reid,2
Auriporia aurulenta David et al.,10
Auriscalpium dissectum Maas Geesteranus & Rammeloo,1
Auxarthron californiense Orr & Kuehn,2
Auxarthron compactum G.F. Orr & Plunkett,1
Auxarthron conjugatum (Kuehn) G.F. Orr & Kuehn,2
Auxarthron reticulatum (Zukal) Orr & Plunkett,3
Auxarthron umbrinum (Boud.) G.F. Orr & Plunkett,3
Auxarthron umbrinum (Boudier) Orr & Plunkett,1
Auxarthron zuffianum (Morini) Orr & Kuehn,2
Babjevia anomala (Bab'eva & Gorin) Van der Walt & M.T. Smith,4
Babjeviella inositovora (W. Golubev & Blagodatskaya) Kurtzman & M. Suzuki,1
Bacteria,17103
Bactrodesmium obovatum (Oudemans) M.B. Ellis,1
Bahusakala niduterminatae Castañeda et al.,1
"Barnettozyma californica (Lodder) Kurtzman, Robnett & Basehoar-Power",1
"Barnettozyma californica (Lodder) Kurtzman, Robnett & Basehoar-Powers",6
"Barnettozyma pratensis (Babeva & Reshetova) Kurtzman, Robnett & Basehoar-Powers",1
"Barnettozyma vustinii Yurkov, Schäfer & Begerow",1
Basidiobolus ranarum Eidam,9
Basifimbria aurea Subramanian & Lodha,1
Basifimbria spinosa Buffin & Hennebert,2
Basifimbria succineum (Masse & Salmon) Seifert & Kendrick,1
Basipetospora halophila (van Beyma) Pitt & Hocking,1
Battarrina inclusa (Berkeley & Broome) Clements & Shear,1
Beauveria bassiana (Balsamo) Vuillemin,20
Beauveria brongniartii (Saccardo) Petch,4
Beauveria brumptii Langeron & Lichaa,1
Beauveria caledonica Bissett & Widden,2
