establishmentMeans,reps
"F1671, P only",1
"F1672, P only",1
"F1673, P only",1
"F1674, C+P",1
"F1675, 0C+P",1
"F1676, P only",1
"F1677, 0C+P",1
"F1678, C+P",1
"F1679, C+P",1
"F168, P only",1
"F1680, P only",1
"F1681, P only",1
"F1682, P only",1
"F1683, P only",1
"F1684, P only",1
"F1685, P only",1
"F1687, C+P",1
"F1688, P only",1
"F1689, P only",1
"F169, C+P",1
"F1690, C+P",1
"F1691, C+P",1
"F1692, P only",1
"F1693, P only",1
"F1694, 0C+P",1
"F1695, p only",1
"F1696, P only",2
"F1697, P only",1
"F1698, P only",1
"F1699, 0C+P",1
"F17, C+P",1
"F1700, 0C+P",1
"F1701, P only",1
"F1702, P only",1
"F1703, P only",1
"F1704, C+P",1
"F1705, P only",1
"F1706, P only",1
"F1707, 0C+P",1
"F1708,",1
"F1709, 0C+P",1
"F171, P only",1
"F1710, 0C+P",1
"F1711, 0C+P",1
"F1712, 0C+P",1
"F1713, P only",1
"F1714, P only",1
"F1715, P only",1
"F1716, P only",1
"F1717, 0C+P",1
"F1718, 0C+P",1
"F1719, 0C+P",1
"F172, C+P",1
"F1720, 0C+P",1
"F1721, C+P",1
"F1722, 0C+P",1
"F1723, P only",1
"F1724, P only",1
"F1725,",1
"F1726,",1
"F1727,",1
"F1728, 0C+P",1
"F1729, P only",1
"F173, ØC+P",1
"F1730, 0C+P",1
"F1731, 0C+P",1
"F1732, P only",1
"F1733, 0C+P",1
"F1734, 0C+P",1
"F1735, 0C+P",1
"F1736, 0C+P",1
"F1737, P only",1
"F1738, P only",1
"F1739, P only",1
"F174, ØC+P",1
"F1740, P only",1
"F1741, 0C+P",1
"F1742, 0C+P",1
"F1743, 0C+P",1
"F1744,",1
"F1745,",1
"F1746, 0C+P",1
"F1747, P only",1
"F1748, 0C+P",1
"F1749, C+P",1
"F175, C+P",1
"F1750, P only",1
"F1751, 0C+P",1
"F1752, 0C+P",1
"F1753, 0C+P",1
"F1754, 0C+P",1
"F1755, 0C+P",1
"F1756, P only",1
"F1757, 0C+P",1
"F1758, 0C+P",1
"F1759, 0C+P",1
"F176, ØC+P",1
"F1760, 0C+P",1
"F1761, 0C+P",1
"F1762,",1
"F1763,",1
"F1764, 0C+P",1
"F1765, 0C+P",1
"F1766,",1
"F1767,",1
"F1768,",1
"F1769,",1
"F1770,",1
"F1771, P only",1
"F1772,",1
"F1773, photo",1
"F1774,",1
"F1775,",1
"F1776, C+P",1
"F1777, P only",1
"F1778, 0C+P",1
"F1779, C+P",1
"F178, C+P",1
"F1780, 0C+P",1
"F1781, 0C+P",1
"F1782, 0C+P",1
"F1783, P only",1
"F1784, 0C+P",1
"F1785, 0C+P",1
"F1786, P only",1
"F1787, P only",1
"F1788, P only",1
"F1789, P only",1
"F179, C+P",1
"F1790, 0C+P",1
"F1791, 0C+P",1
"F1796, P only",1
"F1798, p only",1
"F1799, C+P",1
"F18, ØC+P",1
"F180, P only",1
"F1800, ØC+P",1
"F1801, ØC+P",1
"F1802, ØC+P",1
"F1803, ØC+P",1
"F1804, P only",1
"F1805, P only",1
"F1806, P only",1
"F1807, C+P",1
"F1808, P only",1
"F1809, ØC+P",1
"F181, C+P",1
"F1810, 0C+P",1
"F1811, P only",1
"F1812, ØC+P",1
"F1813, ØC+P",1
"F1814, ØC+P",1
"F1815, P only",1
"F1816, P only",1
"F1817, P only",1
"F1818, C+P",1
"F1819, P only",1
"F182, C+P",1
"F1820, 0C+P",1
"F1821, 0C+P",1
"F1822, P only",1
"F1823, ØC+P",1
"F1824, 0C+P",1
"F1825, P only",1
"F1826, 0C+P",1
"F1827, P only",1
"F1829, P only",1
"F183, P only",1
"F1830, P only",1
"F1831, 0C+P",1
"F1832, 0C+P",1
"F1834, C+P",1
"F1835, 0C+P",1
"F1836, 0C+P",1
"F1837, P only",1
"F1838, P only",1
"F1839, P only",1
"F184, P only",1
"F1840, 0C+P",1
"F1841, C+P",2
"F1842, P only",1
"F1843,",1
"F1844, 0C+P",1
"F1845, 0C+P",1
"F1846, 0C+P",1
"F1847,",1
"F1848, P only",1
"F1849, P only",1
"F185, C+P",1
"F1850, P only",1
"F1851, P only",1
"F1852, C+P",1
"F1853, 0C+P",1
"F1854, 0C+P",1
"F1855, P only",1
"F1856, 0C+P",1
"F1857, 0C+P",1
"F1858, P only",1
"F1859, P only",1
"F186, P only",1
"F1860, C+P",1
"F1861, C+P",1
"F1862, P only",1
"F1863, C+P",1
"F1863, P only",1
"F1864, 0C+P",1
"F1865, 0C+P",1
"F1866, 0C+P",1
"F1867, 0C+P",1
"F1868, P only",1
"F1869, 0C+P",1
"F187, C+P",1
"F1870, 0C+P",1
"F1871, P only",1
"F1872, 0C+P",1
"F1873, 0C+P",1
"F1874, P only",1
"F1875, P only",1
"F1876, P only",1
"F1877, P only",1
"F1878, P only",1
"F1879, P only",1
"F188, C+P",1
"F1880, P only",1
"F1881, P only",1
"F1882, P only",1
"F1883,",1
"F1884, P only",1
"F1885, P only",1
"F1886, 0C+P",1
"F1887, P only",1
"F1888, P only",1
"F1889, P only",1
"F189, ØC+P",1
"F1890, 0C+P",1
"F1891, P only",1
"F1892, P only",1
"F1893, P only",1
"F1894, P only",1
"F1895, P only",1
"F1896, P only",1
"F1897, P only",1
"F1898, P only",1
"F1899, P only",1
"F19, ØC+P",1
"F190, C+P",1
"F1900, P only",1
"F1901, 0C+P",1
"F1902, P only",1
"F1903, P only",1
"F1904, P only",1
"F1905, 0C+P",1
"F1906, P only",1
"F1907, 0C+P",1
"F1908, P only",1
"F1909, P only",1
"F191, C+P",1
"F1910, 0C+P",1
"F1911, 0C+P",1
"F1912, 0C+P",1
"F1914, P only",1
"F1915, P only",1
"F1916, P only",1
"F1917, P only",1
"F1918,",1
"F1919,",1
"F192, C+P",1
"F1920,",1
"F1921,",1
"F1922,",1
"F1923,",1
"F1924, 0C+P",1
"F1925,",1
"F1926,",1
"F1927,",1
"F1928,",1
"F1929,",1
"F193, ØC+P",1
"F1930,",1
"F1931,",1
"F1932,",1
"F1933,",1
"F1934, P only",1
"F1935,",1
