behavior,reps
"2 birds, call, song",1
"2 birds, song",1
"2 birds, song and call",1
2 birds; alarming near a nest,1
2 call types,16
2 call types both givenperched and in flight,1
"2 call types, call",1
"2 call types, female",1
2 calls,4
"2 countercalling birds, nv (first 27 s), brzk call, pb",1
2 countersinging birds,1
"2 different birds, song",1
2 different calls,1
2 different song types,1
2 eggs in nest,1
2 en Borde de trocha. Hicieron vuelo corto a unos 10 metros.,1
"2 ex. sobrevuelan Plaiaundi a muy baja altura durante un buen rato, sin llegar a posarse.",1
2 feathered young in nest,1
"2 females, call",1
"2 fertile eggs and 3 young birds, a few days old",1
2 fuera vocalizando,1
2 grupos,3
"2 individuals calling and fighting along with a great spotted, call, song",1
"2 individuals, call, song",1
2 juv. begging call,1
"2 males countersinging, song",1
2 males in chase,1
"2 males in pursuit, chase calls and wingbeats",1
"2 migrating calls from 1 bird, flight call",1
2 of 2 in nest,1
2 only but other on side of forest,1
2 or 3 chip notes followed by a one note call,1
2 other young heard,1
2 plus a female,2
"2 song type, song",1
2 song types,6
"2 songs combined, song",1
"2 types call, call",2
2 types of male display calls,1
"2 types, flight call",1
"2 types, male, song",1
"2 variety of phrases, male, song",1
2 young and adult taken from group of fifteen young,3
2 young left in nest,1
"2-3 sec - call, call",2
"2-3sec, call",1
"2-4 sec, flight call",1
"2-5 sec, call",1
2-note call by female,1
2-note song,2
2-noted song,1
2-noted song/call,1
"2-syllable and short 'tit '-calls., Sweeo-call, call, song",1
2-syllable song,1
"2-syllable, Sweeo-caller, call",1
"2-syllable.  A second normal calling bird nearby., Sweeo-caller, call, song",1
"2-type, song",1
"2. cy male, male, song",1
20,5011
20-30 feet in large trees,1
20-Hz doublets,1
20-Hz doublets; call; song,1
200,2
21 oat grains in cheekpouches,1
22 male paradisea and no obtusa male seen here.,1
"24 nidos, algunos activos",1
25,1
25 pairs nesting,1
25 yards from ice edge,2
250 W,6221
250 W Ejemplar grande,1
250 W Ejemplar pequeño poco ortodoxo,1
250 W Llega a cualquier hora,43
250 W Ojo:La genitalia es diferente a la ilustrada en Calle o Fibiger. Hay que hacer varias más de machos y hembras.,57
250 W Revisar,1
250 W abdomen perdido,2
250 W ejemplar grande y adornado,2
250 W ereptriculoides,1
250 W f. scirpi,3
250 W ojo con la genitalia porque es diferente de la mostrada en Fibiger,1
250 W ojo con punctosa,1
250 W ojo: revisar genitalia,1
250 W sin abdomen,1
250 W. Cogida de larva. Exuvia de la crisálida,3
250 W. Genitalia,2
250 nests,3
"2cy bird begging, call",1
"2cy bird begging, call, flight call",1
"2cy male, male, song",1
"2cy, call, juvenile",1
"2nd Call, song",1
"2x tew call, flight call, tup(?) call",1
3,419
3 Hembras y 2 Machos,1
"3 birds interacting, call",2
"3 birds take off., flight call",1
"3 birds, adult, call, song",1
"3 birds, song",1
3 call notes,1
3 call types,1
"3 call types, female",1
"3 call types, male",1
3 different calls,2
3 grupos vocalizando al mismo tiempo,1
"3 indiv, flight call",1
"3 individuals, song",1
3 individuos en dosel haciendo vigilancia. Poca vocalización. Antes de volar realizan pequeñas vocalizaciones.,1
"3 large colonies on this Island, ca 1000 birds",9
"3 males, male, song",1
"3 part trill, song",1
3 posado+bando de 8 en paso.,1
"3 song type, song",1
3 song types,1
"3 songs combined, song",1
"3 times ""tch"" - 1, 6 and 11 sec., flight call",1
3 together,1
"3 variety of phrases, male, song",1
"3 young flew out of nest barely fledged, parents close",1
"3 young in nest, flew at approach, 2 escaped",2
3-4 others seen nearby,1
3-4 together,1
30,4
300,1
32,57
35,24
3m high on Nyssa trunk,1
4,1546
4 - syllabled song,1
4 Adultos y 1 infante,2
4 Adultos y 2 juveniles,1
4 Cotingas,1
"4 birds present, song",1
4 eggs in nest,1
"4 female-plumaged birds together, call, chattering, female",1
4 notas seguidas,1
"4 song type, song",1
"4 variety of phrases, male, song",1
4 young raised in nest,1
4 young taken,1
"4+ birds, song",1
"4, 8 sec - call, call",1
"4-5 sec, song",1
"4-note call, call",1
4-noted song,1
4-syllabled song,1
"4.5 KHz, call",1
400 yards from river,1
5,34
5 bandos.,1
"5 birds., Wing noise in flight",1
5 days earlier had nest with nine eggs,1
"5 grupo en vuelo + un ejemplar,totalmente blanco,posada en los limos de la laguna grande.",1
5 mts parte media alta (Cerca al punto de inicio),1
5 pairs nesting,1
"5 variety of phrases, male, song",1
"5 young in nest, left when disturbed",1
"5-6 sec, call",1
5-noted call,1
5-noted song,1
50 W,1
500-Hz thumps,5
51,1
53 nests in colony,4
"53 nests in colony, most with young",2
53 nests in vicinity,1
5th male of the kind shot from same tree in 5 days. not taped.,1
6,178
6 birds attending brooding bird,1
"6 m, bromelia",1
6 males in display,1
"6 variety of phrases, male, song",1
60 W,19
60 W. Temperatura: 3 grados C,1
61,176
63,2
65,26
66,24
67,4
6m Alt,1
7,18
7 al vuelo saliendo de Inga edulis y 2 perchadas en Cordia alliodora,1
7 miru gorri Gazume inguruan hegan.,1
7 parejas en el Urumea.,1
"7 variety of phrases, male, song",1
7 young collected,1
7 young could not fly only 2 or 3 ft,1
7-noted call,1
70,14
71,1
7:5,1
8,25184
