reproductiveCondition,reps
"1 emb, 18x20 mm",1
"1 emb, 18x8 mm",1
"1 emb, 19 mm",2
"1 emb, 19.5 mm",1
"1 emb, 19x10 mm",1
"1 emb, 19x14 mm",1
"1 emb, 1L X 4 mm",1
"1 emb, 1L, 0R, 10 mm",5
"1 emb, 1L, 0R, 11 mm",4
"1 emb, 1L, 0R, 12 mm",6
"1 emb, 1L, 0R, 13 mm",3
"1 emb, 1L, 0R, 14 mm",1
"1 emb, 1L, 0R, 14x12 mm",1
"1 emb, 1L, 0R, 15 mm",4
"1 emb, 1L, 0R, 16 mm",2
"1 emb, 1L, 0R, 17 mm",1
"1 emb, 1L, 0R, 18 mm",2
"1 emb, 1L, 0R, 20 mm",5
"1 emb, 1L, 0R, 21 mm",1
"1 emb, 1L, 0R, 22 mm",3
"1 emb, 1L, 0R, 27 mm",1
"1 emb, 1L, 0R, 3 mm",1
"1 emb, 1L, 0R, 38 mm",1
"1 emb, 1L, 0R, 4 mm",3
"1 emb, 1L, 0R, 45 mm",1
"1 emb, 1L, 0R, 4x3 mm",2
"1 emb, 1L, 0R, 4x4 mm",1
"1 emb, 1L, 0R, 5 mm",4
"1 emb, 1L, 0R, 5x4 mm",1
"1 emb, 1L, 0R, 6 mm",2
"1 emb, 1L, 0R, 7 mm",3
"1 emb, 1L, 0R, 7x5 mm",2
"1 emb, 1L, 0R, 8 mm",2
"1 emb, 1L, 0R, 9 mm",4
"1 emb, 1L, 0R, 9X8 mm",1
"1 emb, 1L, 0R, 9x9 mm",2
"1 emb, 1L, 11x8 mm",1
"1 emb, 1x1 mm",1
"1 emb, 1x5 mm",3
"1 emb, 1x6 mm",1
"1 emb, 1x7 mm",3
"1 emb, 1x8 mm",2
"1 emb, 1x9 mm",2
"1 emb, 2 mm",1
"1 emb, 20 mm",2
"1 emb, 20x13 mm, 1.3 g",1
"1 emb, 20x15 mm",2
"1 emb, 20x16 mm",2
"1 emb, 20x17 mm",2
"1 emb, 20x18",1
"1 emb, 21 mm",1
"1 emb, 21x11 mm",1
"1 emb, 21x16 mm",2
"1 emb, 21x17 mm",1
"1 emb, 22 mm",4
"1 emb, 22.3 mm",1
"1 emb, 22x14 mm",1
"1 emb, 22x15 mm",1
"1 emb, 22x16 mm, 2.3 g",1
"1 emb, 22x20 mm, 3.1 g",1
"1 emb, 23 mm",1
"1 emb, 23x22 mm, 3.3 g",1
"1 emb, 24x15 mm",1
"1 emb, 24x15 mm, 3.4 g",1
"1 emb, 25x15 mm",1
"1 emb, 25x17 mm",2
"1 emb, 25x20 mm",2
"1 emb, 26 mm",1
"1 emb, 26x18 mm, 2.9g",1
"1 emb, 26x23 mm",1
"1 emb, 27 mm",1
"1 emb, 27mm",1
"1 emb, 27x15 mm",1
"1 emb, 28 mm",1
"1 emb, 28x18",1
"1 emb, 28x27 mm",1
"1 emb, 29x10 mm",1
"1 emb, 2x1 mm",3
"1 emb, 2x2 mm",6
"1 emb, 3.5x2.5 mm",1
"1 emb, 30x18 mm",1
"1 emb, 30x20 mm",1
"1 emb, 31 mm",1
"1 emb, 32x22 mm, 5 g",1
"1 emb, 33x29 mm",1
"1 emb, 34x21 mm",1
"1 emb, 35 mm",1
"1 emb, 35x21 mm",1
"1 emb, 38 mm",1
"1 emb, 3x2 mm",6
"1 emb, 3x3 mm",6
"1 emb, 40x19 mm",1
"1 emb, 4x12 mm",1
"1 emb, 4x2 mm",4
"1 emb, 4x3 mm",4
"1 emb, 4x4 mm",1
"1 emb, 4x4 mm, 12 g",1
"1 emb, 4x4mm",1
"1 emb, 5 mm",1
"1 emb, 5x3",1
"1 emb, 5x3 mm",6
"1 emb, 5x4 mm",7
"1 emb, 5x5 mm",4
"1 emb, 6 mm",2
"1 emb, 60 mm",1
"1 emb, 620 mm",1
"1 emb, 6x4 mm",2
"1 emb, 6x5 mm",2
"1 emb, 7 mm",3
"1 emb, 7 x 7 mm",1
"1 emb, 7x4",1
"1 emb, 7x5 mm",3
"1 emb, 7x5 mm, 12 g",1
"1 emb, 7x6 mm",3
"1 emb, 7x7 mm",2
"1 emb, 8 mm",2
"1 emb, 8x5 mm",2
"1 emb, 8x6 mm",4
"1 emb, 8x7 mm",1
"1 emb, 8x8 mm",1
"1 emb, 9 mm",2
"1 emb, 9x2 mm, 0.2 g",1
"1 emb, 9x5 mm",2
"1 emb, 9x6 mm",1
"1 emb, CR=16mm, female",1
"1 emb, CR=17mm, female",1
"1 emb, CR=19mm, female",2
"1 emb, CR=21mm, female",2
"1 emb, L, 3 mm",1
"1 emb, cr = X 13 mm",1
"1 emb, cr = X 14 mm",1
"1 emb, cr = X 18 mm",1
"1 emb, cr = X 8 mm",1
