geodeticDatum,reps
,467096193
!196,2
"""""Zaire""""",1
"""International spheroid""",13
#D50,1
',1
(+/- 30 Meters),1
(+/- 30 meters),1
(Atlas Fl. Eur.): MH2,1
(GPS),2
"(GPS, WGS 84)",3
(NAD 27),14
(NAD 83),17
(NAD 84),1
(NAD27 CONUS),2
(NAD27),2
(NAD27) North American 1927,10
(NAD83),1
(NAD84),6
(WGS 84),1
(WGS84),7
(WGS84) World Geod,4
(WGS84) World Geodetic System 1984,148481
(WSG 84),2
42.62618064,1
42.62842405,2
42.62937933,1
42.67122714,1
42.74001189,1
42.89373874,1
42.98009331,1
425,1
43.09057928,1
43.28834884,1
43.34222222,1
43.40194444,1
43.78444444,1
4326,603327
4463,4
45,2
45.6519648,1
46.23944444,2
46.82527778,1
46.89022222,1
46.994,1
47.00305556,1
47.13569444,1
47.15138889,1
47.20111111,1
47.86397222,2
47.86666667,3
47.87025,1
49.15,1
49.20416667,1
49.96722222,1
49.99222222,1
4o50'51.51,1
5,1
5.02325,5
5.027881,1
5.109167,2
5.166667,1
5.16667,2
5.174722,4
5.487342,1
5.51666666666667,1
5.51667,1
5.53361,1
5.553136,3
5.59m,1
5.816667,1
50,1
5000,11
50000,1
5108,5
518,1
5320,1
54.9643,1
54.97559,6
55.01815,1
55.0653,3
55.06615,21
55.55543,3
55.55876,8
55.57479,2
55.58468,3
55.58507,1
55.59205,1
55.60733,7
55.60862,13
55.61606,1
55.62591,1
55.63246,3
55.6415,1
55.64914,3
55.65118,4
55.65602,1
55.6594,1
55.66409,1
55.66447,1
55.69447,3
55.69985,1
55.7017,1
55.70245,2
55.70913,1
55.71351,2
55.71743,3
55.71994,4
55.76757,2
55.79575,1
55.81192,1
56,1
56.00685,1
57.15735,2
57.55889,2
57.61578,1
59.33333,1
6,3
6.11667,1
6.16833,1
6.222861,2
6.660126175142,1
6.75,1
6.781162,1
6.833333,1
600,2
622,1
6PS,173
7,778
7 mi SW of Merlin,1
7.25564,1
7.56667,1
7.63333,1
7.6735,1
7.68542,1
7.6965,1
7.88333,4
700,1
72,1
745532E 3970327N,1
763,5
7844,21
8,444
8 mi N of Corvallis,1
8.239897,2
8.57115,1
8.583333,1
8.608723,4
8.72203,1
8.749742,3
8.807064,8
8.9,1
8.916397,2
8.91783,1
80,17
80.48333,1
800,4
8000,1
83,2
840,1
85.015,104
9,1
9.4,3
9.405,1
9.41667,1
9.42667,1
9.44167,1
9.5,1
9.500289,2
9.526,1
9.6167,1
9.7667,1
9.84117,1
9.90367,1
9.95,4
9.966667,3
9.98982,1
92.75,1
92K-014,1
950,1
99,1
=,1
?way off,1
ADG 66,3
AGD 66,18783
AGD66,49799
AGD84,1
ARC105,1
ARC122,2
AUS84,15
Ain el Abd 1970,20
American Samoa 1962,43
Amersfoort,106
Annet,12
Antigua Island Astro 1943,3
Arc 1950,1
Arc 1960,226
Arc1960UTM37S,29054
ArcMap 10.1,1
Arc_1960_UTM_Zone_35S,4248
Astronomic Station Ponape (1951),4
Atl. Fl. Eur.,1
Atlas Fl. Eur.: NH1,1
Australian Geodetic 1966,1852
Australian Geodetic 1984,1019
Australian Geodetic Datum 1966,122
Australian Geodetic Datum 1984,13
BMR,1
"Barneson Park, which was a private park in Tonner Canyon for Mobil Oil employees.",1
Base datos Gentili,14
Base datos Yamana,165
Billings,1
BioGeomancer,4
Biogeomancer,1
Bogota 1975,1
Bogota Observatory,1520
Bogotá WGS84,6466
BogotáObservatory,15
Boyd,1
Bozeman campus,1
Bridger experimental station,1
C3,12
CAPE,18
CB,2
Canadian Geographical Names Data Base (CGND),1
Canadian Geographical Names Database,2
Cape,1
Clarke 1858,445
Coordinates provided on label,2
Corrego Alegre,240
DAD83,1
DMS,1
"DMS, WGS84",27
"DMS, WGS84 datum",18
DMS:,1
D_Clarke_1880_RGS,4
D_WGS_1984,291082
Dadens (BC),1
Datum 83,1
DecimalDegrees,52
Desconhecido,477
Desconocido,25
Djakarta (Batavia),207
Dunn Ranch ca 5 mi Neof Benchley of Tx Hwy 6 and OSR ca 3 miles of Wheelock,1
ED,58
ED 1950,11002
ED50,1999908
ED50V,1
EPSG(25830),42
EPSG: 4326,832
EPSG:25830,1
EPSG:32736,253
EPSG:3857,43109
EPSG:4258,2896
EPSG:4269,527
EPSG:4291,388
EPSG:4326,133681521
EPSG:4326 WGS 84,2416325
EPSG:4326 WGS84,8401119
EPSG:4327,1
EPSG:4328,1
EPSG:4329,1
EPSG:4330,1
EPSG:4331,4
